ID,英文名稱,中文名稱,圖片,化學式,更新日期
339681,sinomenine,青藤碱,,C<Sub>19</Sub><Font>H</Font><Sub>23</Sub><Font>NO</Font><Sub>4</Sub>,2023-01-17
523925,sinapine,芥子碱；芥子酸胆碱酯,,[C<Sub>16</Sub><Font>H</Font><Sub>24</Sub><Font>NO</Font><Sub>5</Sub><Font>]</Font><Sup>+</Sup><Font>[OH</Font><Sup>-</Sup><Font>]</Font>,2023-01-17
523926,sinapic acid,"芥子酸；3,5-二甲氧基-4-羟基桂皮酸",,C<Sub>11</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>5</Sub>,2023-01-17
523927,sinalbin,白芥苷,,C<Sub>30</Sub><Font>H</Font><Sub>42</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>15</Sub><Font>S</Font><Sub>2</Sub>,2023-01-17
523928,silver tartrate,酒石酸银,,Ag<Sub>2</Sub><Font>C</Font><Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2023-01-17
523929,silver stearate,硬脂酸银；十八酸银,,AgC<Sub>18</Sub><Font>H</Font><Sub>35</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523930,silver salicylate,柳酸银,,AgC<Sub>7</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523931,silver propionate,丙酸银,,AgC<Sub>3</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523932,silver picrate,苦味酸银；三硝苯酚银,,AgOC<Sub>6</Sub><Font>H</Font><Sub>2</Sub><Font>(NO</Font><Sub>2</Sub><Font>)</Font><Sub>3</Sub>,2023-01-17
523933,silver phenolsulfonate,酚磺酸银,,Ag(HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>3</Sub><Font>)</Font>,2023-01-17
523934,silver palmitate,软脂酸银；十六酸银,,AgC<Sub>16</Sub><Font>H</Font><Sub>31</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523935,silver myristate,肉豆蔻酸银；十四酸银,,AgC<Sub>14</Sub><Font>H</Font><Sub>27</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523936,silver levulinate,果糖衍酸银；乙醯丙酸银,,AgC<Sub>5</Sub><Font>H</Font><Sub>7</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523937,silver lactate,乳酸银,,AgC<Sub>3</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523938,silver laurate,月桂酸银；十二酸银,,AgC<Sub>12</Sub><Font>H</Font><Sub>21</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523939,silver hydrogen citrate,柠檬酸氢银,,Ag<Sub>2</Sub><Font>HC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>7</Sub>,2023-01-17
523940,silver benzoate,苯甲酸银；苄酸银,,AgC<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CO</Font><Sub>2</Sub>,2023-01-17
523941,silver acetylide,乙炔银,,Ag<Sub>2</Sub><Font>C</Font><Sub>2</Sub>,2023-01-17
523942,silver acetate,乙酸银,,AgC<Sub>2</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523943,silvan; 2-methylfuran,2-甲呋喃,,CH<Sub>3</Sub><Font>C</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font>,2023-01-17
523944,silicoacetic acid; methanesiliconic acid,矽乙酸；甲【酉+夕】酸,,CH<Sub>3</Sub><Font>SiOOH</Font>,2023-01-17
523945,silicobenzoic acid; benzenesiliconic acid,苯【酉+夕】酸,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>SiOOH</Font>,2023-01-17
523946,sialic acid; lactaminic acid,唾液酸,,C<Sub>11</Sub><Font>H</Font><Sub>19</Sub><Font>NO</Font><Sub>9</Sub>,2023-01-17
523947,shogaol,姜酚,,C<Sub>17</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523948,shikonin; alkannin,紫草素,,C<Sub>16</Sub><Font>H</Font><Sub>16</Sub><Font>O</Font><Sub>5</Sub>,2023-01-17
523949,shikimol; safrole,黄樟油精,,C<Sub>10</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523950,shikimic acid; sikimic acid,"莽草酸；3,4,5-三羟-1-环己烯甲酸",,C<Sub>7</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>5</Sub>,2023-01-17
523951,serpentine,蛇根碱,,C<Sub>21</Sub><Font>H</Font><Sub>20</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523952,serotonin; 5-hydroxytryptamine,脑激胺；5-羟色胺,,C<Sub>10</Sub><Font>H</Font><Sub>12</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font>,2023-01-17
523953,serine,丝胺酸,,HOCH<Sub>2</Sub><Font>CH(NH</Font><Sub>2</Sub><Font>)COOH</Font>,2023-01-17
523954,septazine; N-benzyl sulfanilamide; benzylsulfamide,苄胺苯磺胺；N-苄对胺苯磺醯胺；苄对胺苯磺醯胺,,<p>C<sub>13</sub>H<sub>14</sub>N<sub>2</sub>O<sub>2</sub>S</p>,2025-05-21
523955,senegenin,远志酸,,C<Sub>30</Sub><Font>H</Font><Sub>45</Sub><Font>ClO</Font><Sub>6</Sub>,2023-01-17
523956,"senecioic acid; 3,3-dimethylacrylic acid",异戊烯酸；二甲烯丙酸,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=CHCOOH</Font>,2023-01-17
523957,senecionine,千里光宁碱,,C<Sub>18</Sub><Font>H</Font><Sub>25</Sub><Font>NO</Font><Sub>5</Sub>,2023-01-17
523958,semioxamazide; aminooxamide,胺草醯肼,,H<Sub>2</Sub><Font>NCOCONHNH</Font><Sub>2</Sub>,2023-01-17
523959,seminose; D-mannose,D-甘露糖,,C<Sub>5</Sub><Font>H</Font><Sub>11</Sub><Font>O</Font><Sub>5</Sub><Font>CHO</Font>,2023-01-17
523960,semi-β-carotenone,半-β-胡萝卜素酮,,C<Sub>40</Sub><Font>H</Font><Sub>56</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523961,semicarbazide hydrochloride,半卡肼盐酸盐,,H<Sub>2</Sub><Font>NCON</Font><Sub>2</Sub><Font>H</Font><Sub>3</Sub><Font>·HCl</Font>,2023-01-17
523962,semicarbazide,半卡肼；胺脲,,H<Sub>2</Sub><Font>NNHCONH</Font><Sub>2</Sub>,2023-01-17
523963,sedoheptulose,景天[酮庚]糖,,C<Sub>7</Sub><Font>H</Font><Sub>14</Sub><Font>O</Font><Sub>7</Sub>,2023-01-17
523964,selagine,卷柏石松碱,,C<Sub>15</Sub><Font>H</Font><Sub>18</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font>,2023-01-17
523965,"9,10-secocholesta-5,7,10(19)-trien-3β-ol; vitamin D3",胆成骨醇；维生素D3；维他命D3,,C<Sub>27</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font>,2023-01-17
523966,secalonic acid,麦角黄酮酸,,C<Sub>32</Sub><Font>H</Font><Sub>30</Sub><Font>O</Font><Sub>14</Sub>,2023-01-17
523967,sebacoyl chloride,泌脂醯氯,,ClCO(CH<Sub>2</Sub><Font>)</Font><Sub>8</Sub><Font>COCl</Font>,2023-01-17
523968,sebaconitrile,癸二腈,,NC(CH<Sub>2</Sub><Font>)</Font><Sub>8</Sub><Font>CN</Font>,2023-01-17
