ID,英文名稱,中文名稱,圖片,化學式,更新日期
617489,zirconium(IV) sulfate,硫酸锆(IV),,"<Font html:Color=""#000000"">Zr(SO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617491,zirconium(III) hydroxide,氢氧化锆(III) {三(氢氧)化锆},,"<Font html:Color=""#000000"">Zr(OH)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617492,zirconium(IV) chloride,氯化锆(IV),,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617493,zirconium(IV) fluoride,氟化锆(IV) {四氟化锆},,"<Font html:Color=""#000000"">ZrF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617495,zirconium(II) chloride,氯化锆(II) {二氯化锆},,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617496,zirconium(III) chloride,氯化锆(III) {三氯化锆},,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617497,zirconium trihydroxide,三(氢氧)化锆{氢氧化锆(III)},,"<Font html:Color=""#000000"">Zr(OH)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617498,zirconium triiodide,三碘化锆 {碘化锆(III)},,"<Font html:Color=""#000000"">ZrI</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617499,zirconium tribromide,三溴化锆 {溴化锆(III)},,"<Font html:Color=""#000000"">ZrBr</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617500,zirconium trichloride,三氯化锆 {氯化锆(III)},,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617502,zirconium tetraiodide,四碘化锆{碘化锆(IV)},,"<Font html:Color=""#000000"">ZrI</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617503,zirconium tetrathionate,四硫磺酸锆,,"<Font html:Color=""#000000"">ZrS</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617504,zirconium tetrabromide,四溴化锆 {溴化锆(IV)},,"<Font html:Color=""#000000"">ZrBr</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617505,zirconium tetrachloride,四氯化锆 {氯化锆(IV)},,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617506,zirconium tetrahydroxide,四(氢氧)化锆 {氢氧化锆(IV)},,"<Font html:Color=""#000000"">Zr(OH)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617507,zirconium sesquioxide,三氧化二锆；氧化锆(III),,"<Font html:Color=""#000000"">Zr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617508,zirconium sulfide,硫化锆(IV) {二硫化锆},,"<Font html:Color=""#000000"">ZrS</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617509,zirconium phosphide,二磷化锆,,"<Font html:Color=""#000000"">ZrP</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617510,zirconium selenate,硒酸锆(IV),,"<Font html:Color=""#000000"">Zr(SeO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617511,zirconium phenoxide,[四]苯氧化锆,,"<Font html:Color=""#000000"">Zr(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617512,zirconium oxysulfate,硫酸氧锆(IV),,"<Font html:Color=""#000000"">ZrOSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617513,zirconium oxyphosphate,[二]磷酸氧锆(IV),,"<Font html:Color=""#000000"">(ZrO)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
617514,zirconium oxynitrate,硝酸氧锆(IV),,"<Font html:Color=""#000000"">ZrO(NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617515,zirconium oxybromide,氧[二]溴化锆(IV) ,,"<Font html:Color=""#000000"">ZrOBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617516,zirconium oxychloride,氧氯化锆(IV)；二氯氧化锆,,"<Font html:Color=""#000000"">ZrOCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617517,zirconium oxyhydroxynitrate,碱式硝酸氧锆(IV),,"<Font html:Color=""#000000"">ZrO(OH)NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617518,zirconium oxyiodide,氧碘化锆(IV) {二碘氧化锆},,"<Font html:Color=""#000000"">ZrOI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617519,zirconium oxalate,草酸锆(IV)；乙二酸锆(IV),,"<Font html:Color=""#000000"">Zr(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617520,zirconium oxide,氧化锆(IV) {二氧化锆},,"<Font html:Color=""#000000"">ZrO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617521,zirconium monosilicide,一矽化锆,,ZrSi,2012-11-26
617522,zirconium nitrate,硝酸锆(IV),,"<Font html:Color=""#000000"">Zr(NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617523,zirconium nitride,氮化锆,,ZrN,2012-11-26
617524,zirconium orthosilicate,[正]矽酸锆,,"<Font html:Color=""#000000"">ZrSiO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617527,zirconium iodide,碘化锆(IV) {四碘化锆},,"<Font html:Color=""#000000"">ZrI</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617528,zirconium hydride,氢化锆(II) {二氢化锆},,"<Font html:Color=""#000000"">ZrH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617529,zirconium hydroxyiodide,碱式碘化氧锆(IV),,"<Font html:Color=""#000000"">ZrO(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">·ZrOI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617530,zirconium hydroxyoxalate,碱式草酸锆；草酸氧锆 {碱式乙二酸锆},,"<Font html:Color=""#000000"">ZrO(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font>",2012-11-26
617532,zirconium disilicide,二矽化锆,,"<Font html:Color=""#000000"">ZrSi</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617533,zirconium diiodide,二碘化锆 {碘化锆(II)},,"<Font html:Color=""#000000"">ZrI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617535,zirconium dibromide,二溴化锆 {溴化锆(II)},,"<Font html:Color=""#000000"">ZrBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617536,zirconium dichloride,二氯化锆 {氯化锆(II)},,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617537,zirconium carbide,碳化锆；一碳化锆,,ZrC,2012-11-26
617538,zirconium chloride,[四]氯化锆,,"<Font html:Color=""#000000"">ZrCl</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617539,zirconium basic carbonate,碱式碳酸锆,,"<Font html:Color=""#000000"">ZrCO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">·ZrO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617540,zirconium boride,硼化锆；二硼化锆,,"<Font html:Color=""#000000"">ZrB</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617542,zirconium basic acetate,碱式醋酸锆；碱式乙酸锆,,"<Font html:Color=""#000000"">Zr(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">COO)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OH</Font>",2012-11-26
617543,zirconium basic acetate,碱式醋酸锆,,"<Font html:Color=""#000000"">Zr(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">COO)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OH</Font>",2012-11-26
617544,zirconia,氧化锆,,"<Font html:Color=""#000000"">ZrO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617545,zirconium,锆,,Zr,2012-11-26
617546,zinc white,锌白 {氧化锌},,ZnO,2012-11-26
617547,ziram,吉阑,,"<Font html:Color=""#000000"">Zn[(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">NCSS]</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617548,zinc vitriol,锌矾 {硫酸锌七水合物},,"<Font html:Color=""#000000"">ZnSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">·7H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font>",2012-11-26
617549,zinc uranyl acetate,[四]乙酸氧铀(VI)锌；[四]醋酸氧铀(VI)锌,,"<Font html:Color=""#000000"">Zn UO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">CO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617550,zinc valerate,戊酸锌；缬草酸锌,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617552,zinc undecylenate,十一碳烯酸锌,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">11</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">20</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617553,zinc thiocyanate,硫氰酸锌,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617554,zinc thiocyanide,硫氰化锌,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617555,zinc tellurate,碲酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">TeO</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617556,zinc telluride,碲化锌,,ZnTe,2012-11-26
617557,zinc tetraborate,四硼酸锌,,ZnB<Sub>4</Sub><Font>O</Font><Sub>7</Sub><Font> &#160;</Font>,2012-11-26
617558,zinc sulfite,亚硫酸锌,,"<Font html:Color=""#000000"">ZnSO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617559,zinc sulfocyanate,硫氰酸锌,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617560,zinc sulfocyanide,硫氰化锌,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617561,zinc tartrate,酒石酸锌,,"<Font html:Color=""#000000"">ZnC</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617562,zinc sulfate,硫酸锌,,"<Font html:Color=""#000000"">ZnSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617563,zinc sulfide,硫化锌,,ZnS,2012-11-26
617564,zinc sulfanilate,对胺苯磺酸锌,,"<Font html:Color=""#000000"">(NH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">SO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Zn</Font>",2012-11-26
617565,zinc suboxide,次氧化锌(I) {氧化锌(I)；一氧化二锌},,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font>",2012-11-26
617566,zinc stearate,硬脂酸锌 {十八酸锌},,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">18</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">35</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617567,zinc sozoiodolate,"2,6-二碘苯酚-4-磺酸锌；二碘酚磺酸锌",,"<Font html:Color=""#000000"">Zn[C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">I</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(OH)SO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">]</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617568,zinc silicate,矽酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">SiO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617569,zinc silicofluoride,[六]矽氟化锌 {氟矽酸锌},,"<Font html:Color=""#000000"">ZnSiF</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617570,zinc salicylate,柳酸锌；水杨酸锌,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617571,zinc selenate,硒酸锌,,"<Font html:Color=""#000000"">ZnSeO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617572,zinc selenide,硒化锌,,ZnSe,2012-11-26
617574,zinc rhodanate,硫氰酸锌,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617575,zinc pyrophosphate,焦磷酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
617576,zinc propionate,丙酸锌,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">CO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617577,zinc potassium iodide,[四]碘锌化钾；碘化锌钾,,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">[ZnI</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
617578,zinc plumbate,铅酸锌,,"<Font html:Color=""#000000"">ZnPbO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617579,zinc potassium cyanide,[四]氰锌化钾,,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">[Zn(CN)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
617580,zinc picrate,苦味酸锌,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">N</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617581,zinc phosphite,亚磷酸锌,,"<Font html:Color=""#000000"">ZnHPO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617582,zinc phosphate,磷酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(PO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617583,zinc phosphide,磷化锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617588,zinc peroxide,过氧化锌 {二氧化锌},,"<Font html:Color=""#000000"">ZnO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617589,zinc phenate; zinc phenolate,[二]酚锌,,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Zn</Font>",2012-11-26
617590,zinc periodate,过碘酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">(IO</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617591,zinc permanganate,过锰酸锌,,"<Font html:Color=""#000000"">Zn(MnO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617595,zinc pentathionate,五硫磺酸锌,,"<Font html:Color=""#000000"">ZnS</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617596,zinc perchlorate,过氯酸锌,,"<Font html:Color=""#000000"">Zn(ClO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617597,zinc oxalate,草酸锌；乙二酸锌,,"<Font html:Color=""#000000"">ZnC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617598,zinc oxide,氧化锌,,ZnO,2012-11-26
617599,zinc oxysulfide,氧硫化锌,,ZnO·ZnS,2012-11-26
617600,zinc orthophosphate,[正]磷酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(PO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617601,zinc orthosilicate,[正]矽酸锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">SiO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617603,zinc oleate,油酸锌 {9-十八碳烯酸锌},,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">18</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">33</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617604,zinc nitride,氮化锌,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">N</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617605,zinc nitrite,亚硝酸锌,,"<Font html:Color=""#000000"">Zn(NO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617606,zinc methide,二甲锌,,"<Font html:Color=""#000000"">Zn(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617607,zinc methide; methylzinc,[二]甲锌,,"<Font html:Color=""#000000"">Zn(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617608,zinc nitrate,硝酸锌,,"<Font html:Color=""#000000"">Zn(NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
