ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5449544,critical point,临界点,,104.11.20,Remington,2023-01-17
5449545,critical process parameter {=CPP},关键制程参数,,107.01.18,GMP,2023-01-17
5449546,critical quality attribute {=CQA},关键品质属性,,107.01.18,GMP,2023-01-17
5449547,Crohn's disease,克隆氏症,,104.11.20,Remington,2023-01-17
5449548,cross contamination,交叉污染,,104.06.11,GMP,2023-01-17
5449549,cross section,横切面；横剖面,,104.11.20,Remington,2023-01-17
5449550,crosslinked,交连的,,104.11.20,Remington,2023-01-17
5449551,crossover design,交叉设计,,104.11.20,Remington,2023-01-17
5449552,cross-validation,交互确效,,103.03.13,中华无菌制剂协会,2023-01-17
5449553,croton fruit {Crotonis Fructus},巴豆,,103.07.17,中医药,2023-01-17
5449554,croton oil,巴豆油,,nan,国编馆,2023-01-17
5449555,crown ether,冠醚,,108.04.25,nan,2023-01-17
5449556,crude drug {materia medica},药材,,103.08.14,nan,2023-01-17
5449557,crude drugs,生药,,nan,nan,2023-01-17
5449558,crushing strength,抗碎强度,,nan,nan,2023-01-17
5449559,cryo,超冷,,104.11.20,nan,2023-01-17
5449560,cryogenic,低温的,,104.06.11,GMP,2023-01-17
5449561,cryoprotectants,超冷保护剂,,104.11.20,Remington,2023-01-17
5449562,crystal,结晶；晶体,,104.11.20,Remington,2023-01-17
5449563,crystal fiber,结晶房纤维,,nan,nan,2023-01-17
5449564,crystal violet,结晶紫；龙胆紫,,nan,nan,2023-01-17
5449565,crystalline,结晶状；晶状的,,104.11.20,Remington,2023-01-17
5449566,crystallinity,结晶性,,nan,nan,2023-01-17
5449567,crystallization,结晶；结晶化,,104.11.20,Remington,2023-01-17
5449568,crystallography,结晶学；晶体绕射法,,104.11.20,Remington,2023-01-17
5449569,culture medium,培养基,,nan,nan,2023-01-17
5449570,cumulative intake,累积摄取量,,106.11.09,ICH M7,2023-01-17
5449571,curarine,箭毒素,,nan,国编馆,2023-01-17
5449572,current Good Manufacturing Practice {=cGMP},现行药品优良制造规范,,107.01.18,Remington,2023-01-17
5449573,cutaneous biotransformation,皮肤药物生物转换,,104.11.20,Remington,2023-01-17
5449574,cutch,儿茶；黑儿茶,,103.07.17,中医药,2023-01-17
5449575,cyanides,氰化物,,nan,nan,2023-01-17
5449576,cyanocobalamin,氰钴胺；维生素B12,,nan,nan,2023-01-17
5449577,cyanogen bromide,溴化氰,,102.03.14,中华无菌制剂协会,2023-01-17
5449578,cyanogenic glycosides,氰苷,,nan,nan,2023-01-17
5449579,cyathula root {Cyathulae Radix},川牛膝,,103.07.17,中医药,2023-01-17
5449580,cycle development,周期开发,,104.06.11,GMP,2023-01-17
5449581,cyclizine hydrochloride,盐酸苯吡[口井],,nan,化学药品,2023-01-17
5449582,cyclobenzaprine hydrochloride,盐酸环芐普林,,nan,化学药品,2023-01-17
5449583,cyclodextrin inclusion compounds,环糊精包合物,,nan,nan,2023-01-17
5449584,cyclohexane,环己烷,,107.05.14,通则试药与溶液,2023-01-17
5449585,cyclotron,回旋加速器,,104.11.20,Remington,2023-01-17
5449586,cylinder plate method,圆筒平板法,,104.11.20,Remington,2023-01-17
5449587,cyperus,香附,,nan,nan,2025-01-10
5449588,cystic fibrosis,囊肿纤维化；囊肿纤化症,,104.11.20,Remington,2023-01-17
5449589,cytochrome P450 enzymes {=CYP450},细胞色素酶P450,,107.01.18,Remington,2023-01-17
5449590,cytochromes,细胞色素,,nan,nan,2023-01-17
5449591,cytokines,细胞活素,,nan,nan,2023-01-17
5449592,cytokinins,细胞激肽,,nan,nan,2023-01-17
5449593,cytostatics,细胞增殖抑制剂,,nan,nan,2023-01-17
5449594,cytotoxicity,细胞毒性,,nan,nan,2023-01-17
5449595,cytotoxics,细胞毒性剂,,nan,nan,2023-01-17
5449596,cytotoxins,细胞毒素,,nan,nan,2023-01-17
5449597,Dahurian angelica root {Angelicae Dahuricae Radix},白芷,,107.03.22,中医药,2023-01-17
5449598,Dalton's atomic theory,道尔顿原子说,,104.11.20,Remington,2023-01-17
5449599,dandelion {Taraxaci Herba},蒲公英,,107.03.22,中医药,2023-01-17
5449600,databases,资料库；数据库,,104.11.20,Remington,2023-01-17
5449601,dead leg,盲管,,104.06.11,GMP,2023-01-17
5449602,deaggregation,去凝集；去聚集,,104.11.20,Remington,2023-01-17
5449603,debriding ointments,清创软膏,,104.11.20,Remington,2023-01-17
5449604,decision tree analysis,决策树状分析,,104.11.20,Remington,2023-01-17
5449605,decoctions,汤剂；煎剂,,107.03.22,国编馆,2023-01-17
5449606,decoding,解码,,107.03.22,nan,2023-01-17
5449607,decontamination,去污染,,104.06.11,GMP,2023-01-17
5449608,dedicated equipment,专用设备,,104.06.11,GMP,2023-01-17
5449609,Deerhorn glue {Cervi Cornus Gelatinum},鹿角胶,,107.03.22,中医药,2023-01-17
5449610,default limit,预设限值,,104.06.11,GMP,2023-01-17
5449611,deflocculation,去絮凝；消絮凝,,104.11.20,Remington,2023-01-17
5449612,defoliants,落叶剂,,104.11.20,Remington,2023-01-17
5449613,degas,脱气；除气,,nan,nan,2023-01-17
5449614,degenerative joint disease,退化性关节症,,104.11.20,Remington,2023-01-17
5449615,degradation,降解,,nan,nan,2023-01-17
5449616,degradation product,降解产物,,104.06.11,GMP,2023-01-17
5449617,degradation profile,降解描绘；降解示意图,,104.06.11,GMP,2023-01-17
5449618,degree of homogeneity,均匀度,,104.11.20,Remington,2023-01-17
5449619,dehydrated,脱水的；去水的,,104.11.20,Remington,2023-01-17
5449620,dehydrated alcohol,无水乙醇；绝对酒精,,2019.07.09,nan,2025-04-09
5449621,deionized water,去离子水,,nan,nan,2023-01-17
5449622,delayed release preparation,迟释制剂,,nan,nan,2023-01-17
5449623,deliquescent substances,易潮解性物质,,104.11.20,Remington,2023-01-17
5449624,demelanizing agent,去色斑剂；除色斑剂,,nan,nan,2023-01-17
5449625,dementia,失智症,,104.11.20,Remington,2023-01-17
5449626,demulcents,缓和药,,nan,国编馆,2023-01-17
5449627,denaturant,变性剂,,nan,nan,2023-01-17
5449628,denatured alcohol,变性酒精,,nan,国编馆,2023-01-17
5449629,dendrobium {Dendrobii Herba},石斛,,103.07.17,中医药,2023-01-17
5449630,dental plaque,牙斑,,101.02.09,nan,2023-01-17
5449631,dentifrices,牙粉,,104.11.20,Remington,2023-01-17
5449632,deoxyribonuclease,去氧核糖核酸酶,,107.03.22,Remington,2023-01-17
5449633,deoxyribose,去氧核糖,,102.04.18,nan,2023-01-17
5449634,deoxysaccharide,去氧糖,,nan,nan,2023-01-17
5449635,deoxysugar,去氧糖,,nan,nan,2023-01-17
5449636,depilatories,脱毛药,,nan,nan,2023-01-17
5449637,depolarizing,去极化,,104.11.20,Remington,2023-01-17
5449638,depolymerization,解聚合,,nan,nan,2023-01-17
5449639,deposition,沉积,,nan,nan,2023-01-17
5449640,depressants,抑制剂,,nan,nan,2023-01-17
5449641,depression,忧郁,,nan,nan,2023-01-17
5449642,depressor substances test,降压物试验,,107.03.22,Remington,2023-01-17
5449643,depyrogenation,去热原,,106.03.14,GMP,2023-01-17
5449644,derivatizing agents,衍化剂；衍生化剂,,104.11.20,Remington,2023-01-17
5449645,dermal clearance,皮肤廓清率,,104.11.20,Remington,2023-01-17
5449646,dermatologicals,皮肤用药,,104.11.20,Remington,2023-01-17
5449647,dermatologics,皮肤用药,,107.03.22,国编馆,2023-01-17
5449648,dermatomyositis,皮肌炎,,104.11.20,Remington,2023-01-17
5449649,description,性状,,nan,nan,2023-01-17
5449650,desensitization,减敏,,nan,nan,2023-01-17
5449651,desensitizer,脱敏剂,,nan,nan,2023-01-17
5449652,desiccants,干燥剂,,104.11.20,Remington,2023-01-17
5449653,desiccator,干燥器,,104.11.20,nan,2023-01-17
5449654,design qualification {=DQ},设计验证,,104.06.11,GMP,2023-01-17
5449655,design space {GMP},设计空间,,104.06.11,GMP,2023-01-17
5449656,desmopressin,去氨加压素,,nan,生物药品,2023-01-17
5449657,desquamating agents,去皮屑剂；去角质剂,,104.11.20,Remington,2023-01-17
5449658,detectability,可检测性,,nan,nan,2023-01-17
5449659,detection limit,侦测极限,,nan,nan,2023-01-17
5449660,detector,检测器；侦测器,,nan,nan,2023-01-17
5449661,detergent,清洁剂,,nan,nan,2023-01-17
5449662,determination of foreign matter,异物检查；杂质检查,,nan,nan,2023-01-17
5449663,detoxicant,解毒剂,,nan,nan,2023-01-17
5449664,detoxification,解毒；去毒,,nan,nan,2023-01-17
5449665,devil's claw,魔鬼爪；黄花单角胡麻；南非钩麻,,103.09.11,健康食品,2023-01-17
5449666,dexamethasone sodium phosphate,磷酸钠迪皮质醇,,nan,化学药品,2023-01-17
5449667,dextran,葡聚糖,,107.03.22,Remington,2023-01-17
5449668,dextrin,糊精,,104.08.13,nan,2023-01-17
5449669,dextrose,葡萄糖,,nan,nan,2023-01-17
5449670,diagnostic aids,诊断用辅助剂,,nan,nan,2023-01-17
5449671,diagnostic drugs,诊断用药,,104.11.20,Remington,2023-01-17
5449672,diagnostic radioisotopes,诊断用放射性同位素,,nan,nan,2023-01-17
5449673,diagnostic reagents,诊断用试剂,,107.03.22,Remington,2023-01-17
5449674,diagnostics,诊断学,,104.11.20,Remington,2023-01-17
5449675,dialysate,透析液,,102.06.13,nan,2023-01-17
5449676,dialysis,透析,,nan,nan,2023-01-17
5449677,dialyzer,透析器；透析仪,,nan,nan,2023-01-17
5449678,dianthrone,二蒽酮,,nan,nan,2023-01-17
5449679,diaphoretics,发汗药,,nan,国编馆,2023-01-17
5449680,diarrhea,腹泻,,nan,nan,2023-01-17
5449681,diastase,麦芽淀粉酶,,2021.04.21,nan,2025-04-09
5449682,diastereoisomers,非镜像异构物,,104.12.18,Remington,2023-01-17
5449683,diastereomers,非镜像异构物,,107.03.22,nan,2023-01-17
5449684,diatomaceous earth,矽藻土,,104.12.18,Remington,2023-01-17
5449685,dibasic,二盐基的,,104.12.18,Remington,2023-01-17
5449686,dibasic sodium phosphate,磷酸氢二钠,,107.05.14,通则试药与溶液,2023-01-17
5449687,dibutylhydroxytoluene {=BHT},二丁基羟基甲苯,,107.03.22,nan,2023-01-17
5449688,dichloramine-T,二氯胺,,nan,国编馆,2023-01-17
5449689,dicloxacillin sodium,二氯噻青霉素钠,,nan,化学药品,2023-01-17
5449690,die,中模,,nan,nan,2023-01-17
5449691,dielectric constant,介电常数,,nan,nan,2023-01-17
5449692,dietary supplement,膳食补充剂,,104.12.18,Remington,2023-01-17
5449693,diethyl ether,乙醚,,nan,nan,2023-01-17
5449694,diethylbarbituric acid {barbital},二乙巴比妥酸；巴比妥,,107.03.22,国编馆,2023-01-17
5449695,differential thermal analysis {=DTA},热差分析；差热分析,,104.12.18,Remington,2023-01-17
5449696,differential thermogravimetry,示差热重量法,,106.04.11,Remington,2023-01-17
5449697,diffusion,扩散,,nan,nan,2023-01-17
5449698,diffusion coefficient,扩散系数,,nan,nan,2023-01-17
5449699,diffusivity,扩散性,,104.12.18,Remington,2023-01-17
5449700,digestants,消化剂,,nan,国编馆,2023-01-17
5449701,digitalis,毛地黄,,104.12.18,Remington,2023-01-17
5449702,digitaloid drugs,毛地黄类药,,104.12.18,Remington,2023-01-17
5449704,dihedral angle,双面夹角,,nan,nan,2023-01-17
5449705,dihydroxypropane,二羟基丙烷基,,108.04.25,nan,2023-01-17
5449706,dilatancy,流变增黏性,,104.12.18,Remington,2023-01-17
5449707,dill fruits,莳萝子,,nan,国编馆,2023-01-17
5449708,diluents,稀释剂,,nan,nan,2023-01-17
5449709,dilution,稀释,,104.12.18,Remington,2023-01-17
5449710,dimenhydrinate,氯茶碱二苯安明,,nan,化学药品,2023-01-17
5449711,dimensional analysis,因次分析,,104.12.18,Remington,2023-01-17
5449712,dimercaprol,二硫丙醇；英国路易士毒气解毒剂,,104.08.13,Remington,2023-01-17
5449713,dimethylsilane,二甲基矽烷,,108.04.25,nan,2023-01-17
5449714,dioscorea,山药,,nan,nan,2025-01-10
5449715,dioxin,戴奥辛,,nan,nan,2023-01-17
5449716,dip,浸,,107.11.22,nan,2023-01-17
5449717,diphtheria,白喉,,102.02.20,中华无菌制剂协会：新药,2023-01-17
5449718,dipole moment,偶极矩,,104.12.18,Remington,2023-01-17
5449719,direct compression tablets,直接压锭,,107.03.22,nan,2023-01-17
5449720,direct contact test,直接接触试验,,105.01.15,Remington,2023-01-17
5449721,direct inlet probe {=DIP},直接进样装置,,nan,nan,2023-01-17
5449722,disaccharidases,双糖酶,,107.03.22,nan,2023-01-17
5449723,disaccharides,双糖类,,107.03.22,nan,2023-01-17
5449724,discrete data,离散数据,,104.12.18,Remington,2023-01-17
5449725,disinfectants,消毒剂,,107.03.22,nan,2023-01-17
5449726,disintegrants,崩散剂,,104.12.18,Remington,2023-01-17
5449727,disintegrating agents,崩散剂,,107.03.22,nan,2023-01-17
5449728,disintegration,崩散(度),,108.10.22,nan,2023-01-17
5449729,disks,圆盘；磁盘；圆片,,107.08.17,nan,2023-01-17
5449730,dismutases,歧化酶,,104.12.18,Remington,2023-01-17
5449731,disorders,异常,,104.12.18,Remington,2023-01-17
5449732,dispensing error potential,潜在调剂误差,,104.12.18,Remington,2023-01-17
5449733,disperse systems,分散系统,,107.03.22,Remington,2023-01-17
5449734,dispersed phase,分散相,,104.12.18,Remington,2023-01-17
5449735,dispersible tablets,分散锭,,103.11.20,GMP,2023-01-17
5449736,dispersion,分散,,nan,nan,2023-01-17
5449737,dispersion medium,分散介质,,104.12.18,Remington,2023-01-17
5449738,displacement,置换,,104.12.18,Remington,2023-01-17
5449739,disposable syringe,抛弃式注射器,,nan,nan,2023-01-17
5449740,disposition of drugs,药物之体内配置,,nan,nan,2023-01-17
5449741,dissociation,解离,,nan,nan,2023-01-17
5449742,dissociation constant,解离常数,,104.12.18,Remington,2023-01-17
5449743,dissolution,溶离(度),,107.08.17,nan,2023-01-17
5449744,dissolution medium,溶离介质,,104.12.18,Remington,2023-01-17
5449745,dissolution test,溶离试验,,104.12.18,Remington,2023-01-17
5449746,dissolved oxygen,溶氧,,nan,nan,2023-01-17
5449747,distillation,蒸馏,,nan,nan,2023-01-17
5449748,distilled water,蒸馏水,,nan,国编馆,2023-01-17
5449749,distribution,运销,,103.11.20,GMP,2023-01-17
5449750,distribution of drug,药物分布,,nan,nan,2023-01-17
5449751,distribution rate constant,分布速率常数,,102.03.14,中华无菌制剂协会,2023-01-17
5449752,distribution volume,分布容积,,104.12.18,Remington,2023-01-17
5449753,disulfiram reaction,待舒方反应,,104.12.18,Remington,2023-01-17
5449754,diterpenoids; diterpenes,双萜类,,107.03.22,nan,2023-01-17
5449755,diuretics,利尿剂,,nan,nan,2023-01-17
5449756,diverticulitis,憩室炎,,104.12.18,Remington,2023-01-17
5449757,diverticulosis,憩室病,,104.12.18,Remington,2023-01-17
5449758,divinylbenzene,二乙烯苯,,108.04.25,nan,2023-01-17
5449759,DNA-reactive impurity,DNA反应性杂质,,106.11.09,ICH M7,2023-01-17
5449760,documentation,文件化,,104.12.18,Remington,2023-01-17
5449761,dogwood,四照花；山茱萸,,104.12.18,Remington,2023-01-17
5449762,donepezil hydrochloride,盐酸多奈派齐,,nan,化学药品,2023-01-17
5449763,Dong Quai,当归,,103.09.11,健康食品,2023-01-17
5449764,Donnan distribution,杜南分布,,104.12.18,Remington,2023-01-17
5449765,Donnan effect,杜南效应,,104.12.18,Remington,2023-01-17
5449766,donors,捐赠者,,104.12.18,Remington,2023-01-17
5449767,dopamine,多巴胺,,107.03.22,nan,2023-01-17
5449768,dopamine agonists,多巴胺致效剂,,107.03.22,nan,2023-01-17
5449769,dosage,剂量,,104.12.18,Remington,2023-01-17
5449770,dosage form design,剂型设计,,nan,nan,2023-01-17
5449771,dosage forms,剂型,,104.12.18,Remington,2023-01-17
5449772,dosage regimen,给药方案,,nan,nan,2023-01-17
5449773,dose,剂量,,nan,nan,2023-01-17
5449774,dose effect curve,剂量效应曲线,,nan,nan,2023-01-17
5449775,dose response curve,剂量反应曲线,,107.03.22,nan,2023-01-17
5449776,dose titration,剂量调定,,nan,nan,2023-01-17
5449777,dose-effect relationships,剂量与效应关系,,104.12.18,Remington,2023-01-17
5449778,double-blind design,双盲设计,,107.03.22,nan,2023-01-17
5449779,douche,冲洗剂；灌洗剂,,101.10.11,nan,2023-01-17
5449780,doxepin hydrochloride,盐酸多士平,,nan,化学药品,2023-01-17
5449781,Dragendorff's reagent,碘化铋钾试剂,,nan,nan,2023-01-17
5449782,drastic purgatives,峻下剂,,nan,nan,2023-01-17
5449783,dressings,敷料,,104.07.09,Remington,2023-01-17
5449784,dried Longan pulp {Longan Arillus},龙眼干,,107.03.22,nan,2023-01-17
5449785,drip,滴注,,nan,nan,2023-01-17
5449786,dropper,滴管,,104.12.18,Remington,2023-01-17
5449787,drops,滴剂,,nan,nan,2023-01-17
5449788,drug absorption,药物吸收,,nan,nan,2023-01-17
5449789,drug abuse,药物滥用,,nan,nan,2023-01-17
5449790,drug addiction,药物成瘾,,nan,nan,2023-01-17
5449791,drug allergy,药物过敏,,nan,nan,2023-01-17
5449792,drug anaphylaxis,药物急性过敏,,nan,nan,2023-01-17
5449793,drug approval,药品核准,,104.12.18,Remington,2023-01-17
5449794,drug approval process,药品核准过程,,104.12.18,Remington,2023-01-17
5449795,drug compatibility,药物配伍,,nan,nan,2023-01-17
5449796,drug compendia,药品汇编；药品集成,,104.12.18,Remington,2023-01-17
5449797,drug concentration,药物浓度,,nan,nan,2023-01-17
5449798,drug cross resistance,交叉耐药性,,nan,nan,2023-01-17
5449799,drug delivery,药物递输,,104.11.20,Remington,2023-01-17
5449800,drug delivery system,药物递输系统,,nan,nan,2023-01-17
5449801,drug dependence,药物依赖性,,nan,nan,2023-01-17
5449802,drug design,药物设计,,nan,nan,2023-01-17
5449803,drug disposition,体内药物动向,,107.03.22,Remington,2023-01-17
5449804,drug evaluation,药物评估,,nan,nan,2023-01-17
5449805,drug evaluation monographs,药品评估专论,,104.12.18,Remington,2023-01-17
5449806,drug habituation,药物习惯性,,nan,nan,2023-01-17
5449807,drug identification number,药物辨识码,,103.11.20,GMP,2023-01-17
5449808,drug information,药物咨询,,nan,nan,2023-01-17
5449809,Drug Injury Relief Act,药害救济法,,101.05.17,nan,2023-01-17
5449810,drug interaction,药物交互作用,,101.03.08,nan,2023-01-17
5449811,drug level,药物浓度,,nan,nan,2023-01-17
5449812,drug master file（DMF）,药物主档案,,nan,nan,2025-01-10
5449813,drug metabolites,药物代谢物,,nan,nan,2023-01-17
5449814,drug of choice,首选药物,,nan,nan,2023-01-17
5449815,drug permit license,药物许可证,,101.07.12,中华无菌制剂协会,2023-01-17
5449816,drug prototype,原型药,,nan,nan,2023-01-17
5449817,drug recalls and withdrawals,药品召回与撤销,,106.08.15,nan,2023-01-17
5449818,drug release,药物释出,,nan,nan,2023-01-17
5449819,drug resistance,抗药性,,107.03.22,nan,2023-01-17
5449820,drug screening,药物筛选,,nan,nan,2023-01-17
5449821,drug tolerance,耐药性,,102.04.18,nan,2023-01-17
5449822,drug toxicity,药物毒性,,nan,nan,2023-01-17
5449823,drug utilization review {=DUR},药品使用评估,,nan,nan,2023-01-17
5449824,drug-eluting stent {=DES},涂药支架,,104.02.26,GMP,2023-01-17
5449825,drug-induced disease,药因性疾病,,nan,nan,2023-01-17
5449826,drug-protein binding displacement,药物-蛋白结合置换,,nan,nan,2023-01-17
5449827,drug-resistant strains,抗药性菌株,,107.03.22,nan,2023-01-17
5449828,drugs,药品,,nan,nan,2023-01-17
5449829,dry granulation,干式造粒,,nan,nan,2023-01-17
5449830,dry heat,干热,,104.12.18,Remington,2023-01-17
5449831,dry heat sterilization,干热灭菌,,nan,nan,2023-01-17
5449832,dry packing,干式充填,,101.06.07,中华无菌制剂协会,2023-01-17
5449833,dry powder inhaler,干粉吸入器,,103.11.20,GMP,2023-01-17
5449834,Duncan's new multiple range Test,邓肯新多重差距检定,,104.12.18,Remington,2023-01-17
5449835,Duncan's test,邓肯检定,,104.12.18,Remington,2023-01-17
5449836,duodenum,十二指肠,,104.12.18,Remington,2023-01-17
5449837,dusting powder,撒布粉,,104.12.18,Remington,2023-01-17
5449838,dwell volume{=gradient delay volume},梯度延迟体积,,106.09.12,nan,2023-01-17
5449839,dye-solubility test,染料溶入测试 {乳剂},,104.12.18,Remington,2023-01-17
5449840,dyestuff,染料,,101.12.12,nan,2023-01-17
5449841,dyspepsia,消化不良,,102.04.18,中华无菌制剂协会,2023-01-17
5449842,E {=trans},反式,,106.11.09,药化,2023-01-17
5449843,ear drops,滴耳剂,,nan,nan,2023-01-17
5449844,earthworm {Pheretima},地龙,,103.07.17,中医药,2023-01-17
5449845,Eckloniae Thallus {kelp},昆布,,107.05.14,nan,2023-01-17
5449846,ectoparasiticides,杀体外寄生虫剂,,nan,nan,2023-01-17
5449847,eczema,湿疹,,104.12.18,Remington,2023-01-17
5449848,edema,水肿,,nan,nan,2023-01-17
5449849,edetate calcium disodium,爱迪泰钠钙,,nan,化学药品,2023-01-17
5449850,effect,效应；作用,,108.04.25,nan,2023-01-17
5449851,effervescences,发泡剂,,nan,国编馆,2023-01-17
5449852,effervescent granule,发泡性颗粒,,nan,nan,2023-01-17
5449853,effervescent powder,发泡散,,nan,国编馆,2023-01-17
5449854,effervescent tablet,发泡锭,,nan,nan,2023-01-17
5449855,effervescing powder,发泡散,,nan,国编馆,2023-01-17
5449856,efficacy,疗效；效用,,108.04.25,nan,2023-01-17
5449857,Einstein's law of viscosity,爱因斯坦黏稠度定律,,104.12.18,Remington,2023-01-17
5449858,ejection force,排锭力,,nan,nan,2023-01-17
5449859,elastic deformation,弹性变形,,104.12.18,Remington,2023-01-17
5449860,elasticity,弹性,,104.12.18,Remington,2023-01-17
5449861,elderberry,接骨木莓,,107.03.22,健康食品,2023-01-17
5449862,electric charges,电荷,,104.12.18,Remington,2023-01-17
5449863,electric double layers,电双层,,104.12.18,Remington,2023-01-17
5449864,electrical potential,电位,,104.12.18,Remington,2023-01-17
5449865,electricity-modulated drug delivery,电控药物递输,,104.12.18,Remington,2023-01-17
5449866,electrochromatography,电层析法,,104.12.18,Remington,2023-01-17
5449867,electrode,电极,,104.12.18,Remington,2023-01-17
5449868,electrodeionization {=EDI},电去离子法,,104.02.26,nan,2023-01-17
5449869,electrodialysis,电透析,,nan,nan,2023-01-17
5449870,electrokinetic phenomena,动电现象,,104.12.18,Remington,2023-01-17
5449871,electrolyte solutions,电解质溶液,,104.12.18,Remington,2023-01-17
5449872,electrolytes,电解质,,nan,nan,2023-01-17
5449873,electronegativity,阴电性,,105.01.15,Remington,2023-01-17
5449874,electronic records,电子纪录,,105.01.15,Remington,2023-01-17
5449875,electronic signature,电子签名,,105.10.20,GMP,2023-01-17
5449876,electroosmosis,电渗透；电渗作用,,105.01.15,Remington,2023-01-17
5449877,electropherogram,电泳图,,107.03.22,nan,2023-01-17
5449878,electrophoresis,电泳,,nan,nan,2023-01-17
5449879,electrophoretogram,电泳图,,105.01.15,Remington,2023-01-17
5449880,electrophysiology,电生理学,,105.01.15,Remington,2023-01-17
5449881,electroporation,电穿孔,,nan,nan,2023-01-17
5449882,electrospray,电洒,,nan,nan,2023-01-17
5449883,electrospray ionization,电洒离子化法,,105.01.15,Remington,2023-01-17
5449884,electrostatic,静电的,,105.01.15,Remington,2023-01-17
5449885,electrostatic repulsion,静电排斥,,105.01.15,Remington,2023-01-17
5449886,element,元素,,105.01.15,Remington,2023-01-17
5449887,elemental impurities,元素不纯物,,106.11.09,ICH Q3D,2023-01-17
5449888,elimination,排除；排出,,nan,国编馆,2023-01-17
5449889,elimination rate constant,排除速率常数,,nan,nan,2023-01-17
5449890,elixir,酏剂,,101.10.11,nan,2023-01-17
5449891,ellagitannin,并没食子鞣质,,nan,nan,2023-01-17
5449892,eluant,冲提剂,,nan,nan,2023-01-17
5449893,eluate,冲出液；冲出物,,nan,nan,2023-01-17
5449894,elution,冲提,,nan,nan,2023-01-17
5449895,elutriation,淘析法,,105.01.15,Remington,2023-01-17
5449896,embolism,栓塞,,105.01.15,Remington,2023-01-17
5449897,emergency medicine,急诊医学,,105.01.15,Remington,2023-01-17
5449898,emetics,催吐剂,,nan,nan,2023-01-17
5449899,emission,发射,,105.01.15,Remington,2023-01-17
5449900,emmenagogues,通经药,,nan,国编馆,2023-01-17
5449901,emodin,大黄素,,nan,国编馆,2023-01-17
5449902,emollient ointment,润肤软膏,,nan,国编馆,2023-01-17
5449903,emollients,润肤剂,,105.01.15,Remington,2023-01-17
5449904,emulsification,乳化作用,,105.01.15,Remington,2023-01-17
5449905,emulsifiers,乳化剂,,nan,nan,2023-01-17
5449906,emulsifying agents,乳化剂,,105.01.15,Remington,2023-01-17
5449907,emulsifying bases,乳化基剂,,nan,nan,2023-01-17
5449908,emulsin,苦杏仁酶,,nan,nan,2023-01-17
5449909,emulsions,乳剂,,nan,nan,2023-01-17
5449910,enabler,致能方法：致能器,,103.11.20,GMP,2023-01-17
5449911,enantiomeric impurity,镜像异构物不纯物,,106.11.09,ICH Q3A,2023-01-17
5449912,enantiomers,镜像异构物,,105.01.15,Remington,2023-01-17
5449913,enantioselectivitiy,对映选择性；镜像对应异构选择性,,nan,nan,2023-01-17
5449914,encapsulation,包囊,,nan,nan,2023-01-17
5449915,encephalitis,脑炎,,103.04.10,nan,2023-01-17
5449916,encephalomyelitis,脑脊髓炎,,103.04.10,nan,2023-01-17
5449917,encode,编码,,nan,nan,2023-01-17
5449918,endcapped,封端；残矽醇钝化,,107.09.13,nan,2023-01-17
5449919,endocrine,内分泌,,105.01.15,Remington,2023-01-17
5449920,endocrinology,内分泌学,,105.01.15,Remington,2023-01-17
5449921,endogenous virus,内源病毒,,103.11.20,GMP,2023-01-17
5449922,endoplasmic reticulum,内质网,,105.01.15,Remington,2023-01-17
5449923,endotoxin,内毒素,,nan,nan,2023-01-17
5449924,enema,灌肠剂,,nan,国编馆,2023-01-17
5449925,enhancer,增强剂,,nan,nan,2023-01-17
5449927,enteral hyperalimentation,肠道滋养法,,105.01.15,Remington,2023-01-17
5449928,enteric capsule,肠溶性胶囊,,nan,nan,2023-01-17
5449929,enteric coat,肠溶衣,,nan,nan,2023-01-17
5449930,enteric-coated tablet,肠衣锭；肠溶锭,,nan,nan,2023-01-17
5449931,enterprise resource planning systems {=ERP},企业资源规划系统,,103.11.20,GMP,2023-01-17
5449932,enthalpy,焓,,105.01.15,Remington,2023-01-17
5449933,entropy,熵,,105.01.15,Remington,2023-01-17
5449934,environmental isolates,环境分离菌,,103.11.20,GMP,2023-01-17
5449935,environmental monitoring program {=EMP},环境监测计划,,103.12.18,GMP,2023-01-17
5449936,enzyme immunoassay {=EIA},酶免疫分析,,nan,nan,2023-01-17
5449937,enzyme kinetics,酶动力学；酵素动力学,,105.01.15,Remington,2023-01-17
5449938,enzyme-linked immunosorbent assay {=ELISA},酵素免疫吸附分析法；酶联免疫吸附分析法,,107.03.22,Remington,2023-01-17
5449939,enzymes,酶类; 酵素,,107.03.22,nan,2023-01-17
5449940,eosinophils,嗜伊红白血球,,105.01.15,Remington,2023-01-17
5449941,ephedra {Ephedrae Herba},麻黄,,103.07.17,中医药,2023-01-17
5449942,ephedrine,麻黄碱；麻黄素,,102.04.18,nan,2023-01-17
5449943,epidemiology,流行病学,,105.01.15,Remington,2023-01-17
5449944,epidermal drug delivery system,经皮药物递输系统,,105.01.15,Remington,2023-01-17
5449945,epigenetics,表观遗传学,,105.10.20,nan,2023-01-17
5449946,epilator,脱毛药,,nan,国编馆,2023-01-17
5449947,epilepsy,癫痫,,105.01.15,Remington,2023-01-17
5449948,epimer,差向异构物；表异构物,,nan,nan,2023-01-17
5449949,epimerization,表异构化,,105.01.15,Remington,2023-01-17
