ID,英文名稱,中文名稱,圖片,更新日期
6251297,Albright's hereditary osteodystrophy,Albright氏遗传性骨失养症,,2020-01-07
6251298,albumin,白蛋白,,2020-01-07
6251299,alcoholic hepatitis,酒精性肝炎,,2020-01-07
6251300,Alder-Reilly anomaly,Alder-Reilly氏异常,,2020-01-07
6251301,aldosterone,醛固酮,,2020-01-07
6251302,aldosterone synthetase,醛固酮合成酶,,2020-01-07
6251303,alert interval,警示区间,,2020-01-07
6251304,alimentary hypoglycemia,消化道性低血糖症,,2020-01-07
6251305,alkaline phosphatase {=ALP},碱性去磷酸酶,,2020-01-07
6251306,alkaptonuria,黑尿病,,2020-01-07
6251307,alkylating agents,烷化剂,,2020-01-07
6251308,all trans retinoic acid {=ATRA},全反式维甲酸,,2020-01-07
6251309,allele,等位基因；对偶基因,,2020-01-07
6251310,allele-specific PCR,等位基因特异性PCR,,2020-01-07
6251311,allelic profile,等位基因轮廓,,2020-01-07
6251312,allergen,过敏原,,2020-01-07
6251313,allergic bronchopulmonary Aspergillosis {=ABPA},过敏性支气管与肺的曲菌病,,2020-01-07
6251314,allergic diseases,过敏疾病,,2020-01-07
6251315,allergic march,过敏进行曲,,2020-01-07
6251316,allergic phenotype,过敏表现型,,2020-01-07
6251317,allergic reactions,过敏原反应,,2020-01-07
6251318,allergic rhinitis,过敏性鼻炎,,2020-01-07
6251319,alloantibody,异体抗体,,2020-01-07
6251320,alloantigens,异体抗原,,2020-01-07
6251321,allogeneic hematopoietic cell transplantation,异体造血干细胞移植,,2020-01-07
6251322,allogenic hematopoietic progenitor cell harvest,异体造血干细胞收取,,2020-01-07
6251323,allografts,同种异体移植物,,2020-01-07
6251324,alloimmune hemolytic disease of the newborn {=HDN},新生儿异体免疫性溶血性贫血,,2020-01-07
6251325,allo-immune response,异体免疫反应,,2020-01-07
6251326,allotyping,异型鉴定,,2020-01-07
6251327,alpha-2-antiplasmin,甲2型抗胞浆素,,2020-01-07
6251328,altered repertoire model,改变的免疫图谱模式,,2020-01-07
6251329,alternative hypothesis,对立假说,,2020-01-07
6251330,alternative pathway,替代途径,,2020-01-07
6251331,ambiguity,不明确,,2020-01-07
6251332,amoeba,阿米巴,,2020-01-07
6251333,American Association of Tissue Banks {=AATB},美国组织银行协会,,2020-01-07
6251334,American Board of Clinical Chemistry {=ABCC},美国临床化学委员会,,2020-01-07
6251335,American Board of Medical Genetics {=ABMG},美国医学遗传学委员会,,2020-01-07
6251336,American Board of Pathology {=ABP},美国病理委员会,,2020-01-07
6251337,American Society of Clinical Pathology {=ASCP},美国临床病理学会,,2020-01-07
