ID,英文名稱,中文名稱,圖片,更新日期
167623,macromastia,巨乳症,,2012-11-26
167624,macroglossia,巨舌,,2012-11-26
167625,praecox macrogenitosomia,早熟性巨生殖器巨体,,2012-11-26
167626,macrogenitosomia,巨生殖器巨体,,2012-11-26
167627,macroadenoma,巨腺瘤,,2012-11-26
167628,macro-,巨,,2012-11-26
167629,lysosome,溶酶体,,2012-11-26
167630,lymphokine,淋巴介质,,2012-11-26
167631,luteoma,黄体瘤,,2012-11-26
167633,low T3 syndrome,低三碘甲状腺素症,,2012-11-26
167634,low-density lipoprotein (LDL),低密度脂蛋白,,2012-11-26
167635,lordosis,脊柱腹凸 (交配姿势),,2012-11-26
167636,long-acting thyroid stimulator (LATS),长效甲状腺刺激物,,2012-11-26
167637,liver,肝,,2012-11-26
167638,lithium,锂,,2012-11-26
167639,lipotropism,亲脂性,,2012-11-26
167640,lipotropin (LPH),脂促素；促脂素,,2012-11-26
167641,lipoprotein,脂蛋白,,2012-11-26
167642,lipoprotein lipase (LPL),脂蛋白脂酶,,2012-11-26
167643,lipolysis,脂肪分解,,2012-11-26
167644,lipoid,类脂质,,2012-11-26
167645,lipohypertrophy,脂肥大,,2012-11-26
167646,lipodystrophy,脂失养,,2012-11-26
167647,lipoatrophy,脂萎缩,,2012-11-26
167648,lipidemia,脂血症,,2012-11-26
167649,lipid,脂质,,2012-11-26
167650,lipemia retinalis,脂血性视网膜,,2012-11-26
167651,lipemia,脂血症,,2012-11-26
167652,lipase,脂酶,,2012-11-26
167653,lipaciduria,脂酸尿,,2012-11-26
167654,lipacidemia,脂酸血症,,2012-11-26
167655, -like,似,,2012-11-26
167656,liothyronine (T3),三碘甲状腺胺酸,,2012-11-26
167657,ligand,配位体；配合基,,2012-11-26
167658,LHRH (luteinizing hormone releasing hormone),黄体释素；释黄体素,,2012-11-26
167659,LH (luteinizing hormone),黄体促素；促黄体素,,2012-11-26
167660,Leydig cell,莱迪希氏细胞；莱氏细胞,,2012-11-26
167661,levothyroxine,左旋甲状腺素,,2012-11-26
167662,leukotriene,白三烯,,2012-11-26
167663,leu-enkephalin,白胺脑素,,2012-11-26
167664,Lesch-Nyhan syndrome,勒－奈二氏症,,2012-11-26
167665,leptin,瘦素,,2012-11-26
167666,leprachaunism,矮妖症,,2012-11-26
167667,lecithin : cholesterol acyltransferase (LCAT),卵磷脂 : 胆固醇转醯酶,,2012-11-26
167668,Laurence-Moon-Bardet-Biedl syndrome,劳－穆－巴－比氏症,,2012-11-26
167669,lateral hypothalamic nuclei,下视丘侧核,,2012-11-26
167670,Laron dwarfism,拉隆氏侏儒症,,2012-11-26
167671,lactotropin,乳促素；促乳素；泌乳素,,2012-11-26
167672,lactotroph,乳促素细胞；促乳素细胞；泌乳素细胞,,2012-11-26
167673,lactosuria,乳糖尿(症),,2012-11-26
167674,lactic acidosis,乳酸中毒,,2012-11-26
167675,lactate,乳酸盐,,2012-11-26
167676,lactation,泌乳；哺乳,,2012-11-26
167677,lactaciduria,乳酸尿,,2012-11-26
167678,lactacidemia,乳酸血症,,2012-11-26
167679,kwashiorkor,红婴症；恶性营养不良病,,2012-11-26
167680,Kussmaul respiration,库斯毛耳氏呼吸,,2012-11-26
167681,Kreb's cycle,克雷伯氏环路,,2012-11-26
167682,Klinefelter's syndrome,克莱恩费特氏症,,2012-11-26
167683,Klein-Levin syndrome,克－雷二氏症,,2012-11-26
167684,kinin,激肽；基宁,,2012-11-26
167685,kininogenase,激肽原酶,,2012-11-26
167686,kininogen,激肽原,,2012-11-26
167687,Kimmelstiel-Wilson syndrome,基－威二氏症,,2012-11-26
167688,Kimmelstiel-Wilson nodule,基－威二氏结,,2012-11-26
167689,kidney,肾,,2012-11-26
167690,ketotic hypoglycemia,酮性低血糖症,,2012-11-26
167691,17-ketosteroid,17-酮类固醇,,2012-11-26
167692,ketosteroid,酮类固醇,,2012-11-26
167693,ketosis-prone diabetes,易酮病型糖尿病,,2012-11-26
167694,ketosis,酮病,,2012-11-26
167695,17-ketoreductase,17-酮还原酶,,2012-11-26
167696,ketonuria,酮尿(症),,2012-11-26
167697,ketonemia,酮血症,,2012-11-26
167698,ketone body,酮体,,2012-11-26
167699,ketogenesis,酮生成,,2012-11-26
167700,17-ketogenic steroid,17-生酮类固醇,,2012-11-26
167701,11-ketoetiocholanolone,11-酮本胆固烷酮,,2012-11-26
167702,ketoacidosis,酮酸中毒,,2012-11-26
167703,ketoacid dehydrogenase deficiency,酮酸脱氢酶缺乏,,2012-11-26
167704,ketoacid,酮酸,,2012-11-26
167705,karyotype,核型,,2012-11-26
167706,keratitis,角膜炎,,2012-11-26
167707,kallmann's syndrome,卡尔门氏症,,2012-11-26
167708,kallikrein-kinin system,血管舒缓素激肽系统,,2012-11-26
167709,kallidin,胰激肽,,2012-11-26
167710,kaliuresis,尿钾排泄,,2012-11-26
167711,kalemia,钾血症,,2012-11-26
167712,juxtaglomerular apparatus,近肾小球器,,2012-11-26
167713,juvenile panhypopituitarism (pituitary dwarfism),幼年型泛垂体低能症；垂体侏儒,,2012-11-26
167714,juvenile-onset diabetes,幼发型糖尿病,,2012-11-26
167715,jod-Basedow's disease,碘性巴塞多氏病,,2012-11-26
167716,jod-Basedow phenomenon,碘性巴塞多氏现象,,2012-11-26
167717,jet lag,时差,,2012-11-26
167718,jet injector,喷枪,,2012-11-26
167719,Jamaican vomiting sickness,牙买加呕吐病,,2012-11-26
167720,J-type diabetes,J (牙买加 ) 型糖尿病,,2012-11-26
167721,itai-itai disease,痛痛病,,2012-11-26
167722,isthmus of thyroid gland,甲状腺峡,,2012-11-26
167723,isovaleryl CoA dehydrogenase deficiency,异戊醯辅酶A脱氢酶缺乏,,2012-11-26
167724,isovaleric acidemia,异戊酸血症,,2012-11-26
167725,isotocin,异亮胺酸催产素,,2012-11-26
167726,isosexual precocity,同功激素,,2012-11-26
167727,isorenin,同功酶,,2012-11-26
167728,isopregnenone,异妊二烯二酮,,2012-11-26
167729,isophane insulin suspension (NPH),等项胰岛素悬浮液,,2012-11-26
167730,isohormone,功激素,,2012-11-26
167731,isohenzyme,同酶,,2012-11-26
167732,isochromosome,等臂染色体,,2012-11-26
167733, -ism,症,,2012-11-26
167734,islet mantle,胰岛外套,,2012-11-26
167735,islet of Langerhans,兰格罕氏岛；兰氏小岛；胰岛,,2012-11-26
167736,islet cell,胰岛细胞,,2012-11-26
167737,islet-activating protein,胰岛活化蛋白,,2012-11-26
167738,diabetic iritis,糖尿病虹膜炎,,2012-11-26
167739,iritis,虹膜炎,,2012-11-26
167740,ionophore,离子载体,,2012-11-26
167741,ion channel,离子管道,,2012-11-26
167742,ion-exchange chromatography,离子交换层析 (色谱) 法,,2012-11-26
167743,iodotyrosine dehalogenase defect,碘酪胺酸去卤酶缺陷,,2012-11-26
167744,iodotyrosine dehalogenase,碘酪胺酸去卤酶,,2012-11-26
167745,iodotyrosine coupling,碘酪胺酸联结,,2012-11-26
167746,iodotyrosine,碘酪胺酸,,2012-11-26
167747,iodothyronine 5'-deiodinase,碘甲状腺胺酸5'-脱碘酶,,2012-11-26
167748,iodothyronine,碘甲状腺胺酸,,2012-11-26
167749,iodoprotein,碘蛋白,,2012-11-26
167750,iodoglobulin,碘球蛋白,,2012-11-26
167751,iodocholesterol scan,碘胆固醇扫描,,2012-11-26
167752,iodocholesterol,碘胆固醇,,2012-11-26
167753,iodism,碘中毒,,2012-11-26
167754,iodine-induced goiter,碘诱发甲状腺肿,,2012-11-26
167755,iodine-containing compound,含碘化合物,,2012-11-26
167756,iodine-131 body scan,碘131体扫描,,2012-11-26
167757,iodine mumps,碘腮腺炎,,2012-11-26
167758,iodine escape,碘逃脱,,2012-11-26
167759,iodine,碘,,2012-11-26
167760,iodination,碘化,,2012-11-26
167761,iodinated contrast reagent,碘化对比试剂,,2012-11-26
167762,iodide,碘化物,,2012-11-26
167763,involution,退化,,2012-11-26
167764,invertebrate hormone,无脊椎动物激素,,2012-11-26
167765,invertase (invertin),转化酶,,2012-11-26
167766,intron,介入子,,2012-11-26
167767,intravenous glucose tolerance test (IVGTT),静注耐糖试验,,2012-11-26
167768,intrasellar calcification,蝶鞍内钙化,,2012-11-26
167769,intraretinal microvascular abnormality,视网膜内微血管异常,,2012-11-26
167770,intracellular fluid,细胞内液,,2012-11-26
167771,intoxication by vitamin D,维生素D中毒,,2012-11-26
167772,intestinal disaccharidase inhibitor,肠双糖酶抑制物,,2012-11-26
167773,interstitial cell stimulating hormone (ICSH;LH),促间质细胞素；黄体促素,,2012-11-26
167774,interstitial cell of Leydig,莱迪希氏间质细胞,,2012-11-26
167775,interstitial cell,间质细胞,,2012-11-26
167776,intermittent claudication,间歇性跛行,,2012-11-26
167777,intermedin,中叶素；黑素细胞促素；促黑素细胞素,,2012-11-26
167778,intermediate lobe of pituitary gland,垂体中叶,,2012-11-26
167779,intermediate filament protein,中间丝蛋白,,2012-11-26
167780,intermediate-density lipoprotein,中密度脂蛋白,,2012-11-26
167781,interleukin-6 (IL-6),介白素-6,,2012-11-26
167782,interleukin-5 (IL-5),介白素-5,,2012-11-26
167783,interleukin-4 (IL-4),介白素-4,,2012-11-26
167784,interleukin-3 (IL-3),介白素-3,,2012-11-26
167785,interleukin-2 (IL-2),介白素-2,,2012-11-26
167786,interleukin-1 (IL-1),介白素-1,,2012-11-26
167787,interleukin,介白素,,2012-11-26
167788,interferon,干扰素,,2012-11-26
167789,interceptive,妨害物,,2012-11-26
167790,intelligence quotient,智商,,2012-11-26
167791,insulitis,胰岛炎,,2012-11-26
167792,insulinoma,胰岛素瘤,,2012-11-26
167793,insulinogenesis,胰岛素生成,,2012-11-26
167794,insulinemia,胰岛素血症,,2012-11-26
167795,insulinase,胰岛素酶,,2012-11-26
167796,insulin-suppressing agent,胰岛素抑制剂,,2012-11-26
167797,insulin-secreting cell,胰岛素分泌细胞,,2012-11-26
167798,insulin-like protein,似胰岛素蛋白,,2012-11-26
167799,insulin-like growth peptide,似胰岛素生长肽,,2012-11-26
167800,insulin-like growth factor binding protein,似胰岛素生长因子结合蛋白,,2012-11-26
167801,insulin-like growth factor Ⅱ(IGF-Ⅱ),似胰岛素生长因子Ⅱ,,2012-11-26
167802,insulin-like growth factor Ⅰ(IGF-Ⅰ),似胰岛素生长因子Ⅰ,,2012-11-26
167803,insulin-glucagon system,胰岛素-升糖型系统,,2012-11-26
167804,insulin-dependent diabetes mellitus (IDDM),胰岛素依赖型糖尿病,,2012-11-26
167805,insulin tolerance test,胰岛素耐性试验,,2012-11-26
167806,insulin therapy,胰岛素疗法,,2012-11-26
167807,insulin stimulation test,胰岛素刺激试验,,2012-11-26
167808,insulin secretion granule,胰岛素分泌颗粒,,2012-11-26
167809,insulin secretion,胰岛素分泌,,2012-11-26
167810,insulin resistance,胰岛素抗性,,2012-11-26
167811,insulin receptor binding,胰岛素受器结合,,2012-11-26
167812,insulin receptor,胰岛素受器,,2012-11-26
167813,insulin reaction,胰岛素反应,,2012-11-26
167814,insulin pump,胰岛素泵,,2012-11-26
167815,insulin protease,胰岛素蛋白酶,,2012-11-26
167816,insulin lipodystrophy,胰岛素性脂肪失养,,2012-11-26
167817,insulin pen,胰岛素笔针,,2012-11-26
167818,insulin infusion pump,胰岛素输注泵,,2012-11-26
167819,insulin gene,胰岛素基因,,2012-11-26
167820,insulin edema,胰岛素性水肿,,2012-11-26
167821,insulin dependence,胰岛素依赖,,2012-11-26
167822,insulin autoantibody,胰岛素自体抗体,,2012-11-26
167823,insulin antibody,胰岛素抗体,,2012-11-26
167824,insulin allergy,胰岛素过敏,,2012-11-26
167825,insulin,胰岛素,,2012-11-26
167826,insular-pancreatotropic,亲胰岛的,,2012-11-26
167827,insufficiency,机能不全,,2012-11-26
167828,inositol triphosphate,三磷酸肌醇,,2012-11-26
167829,inositol,肌醇,,2012-11-26
167830,inorganic phosphate,无机磷酸盐,,2012-11-26
167831,inhibition,抑制作用,,2012-11-26
167832,inhibin-F,抑制素-F,,2012-11-26
167833,inhibin-βB,抑制素-βB,,2012-11-26
167834,inhibin-βA,抑制素-βA,,2012-11-26
167835,inhibin-α,抑制素-α,,2012-11-26
167836,inhibin,抑制素,,2012-11-26
167837,inheritance,遗传,,2012-11-26
167838,infundibulum,漏斗,,2012-11-26
167839,infundibular eminence,漏斗隆凸,,2012-11-26
167840,infiltrative ophthalmopathy,浸润性眼病变,,2012-11-26
167841,infiltrative dermopathy,浸润性皮肤病变,,2012-11-26
167842,infertility,不孕,,2012-11-26
167843,inferior hypophysial artery,下垂体动脉,,2012-11-26
167844,infantilism,幼稚型症,,2012-11-26
167845,induced ovulator,被诱导排卵动物,,2012-11-26
167846,induced ovulation,诱导排卵,,2012-11-26
167847,incretin,肠促胰液素,,2012-11-26
167848,incontinence,失禁,,2012-11-26
167849,inclusion,包涵物,,2012-11-26
167850,incidentaloma,偶见瘤,,2012-11-26
167851,inborn errors of metabolism,先天性代谢异常,,2012-11-26
167852,inappropriate secretion of antidiuretic hormone,抗利尿素分泌失当,,2012-11-26
167853,in vivo,活体内,,2012-11-26
167854,in vitro,试管内,,2012-11-26
167855,in situ hybridization histochemistry,原位杂交组织化学,,2012-11-26
167856,impotence,性无能；阳萎,,2012-11-26
167857,implantation,植入,,2012-11-26
167858,immunotransmitter,免疫介质,,2012-11-26
167859,immunotherapy,免疫疗法,,2012-11-26
167860,immunosuppressive agent,免疫抑制剂,,2012-11-26
167861,immunosuppression,免疫抑制,,2012-11-26
167862,immunoregulation,免疫调节,,2012-11-26
167863,immunoreactivity,免疫反应性,,2012-11-26
167864,immunologic tissue,免疫组织,,2012-11-26
167865,immunoradiometric assay (IRMA),免疫放射量测定,,2012-11-26
167866,immunologic method,免疫法,,2012-11-26
167867,immunohistology,免疫组织学,,2012-11-26
167868,immunologic cross-reactivity,免疫交叉反应,,2012-11-26
167869,immunohistochemistry,免疫组织化学,,2012-11-26
167870,immunohistochemical method,免疫组织化学法,,2012-11-26
167871,immunoglobulin M,免疫球蛋白M,,2012-11-26
167872,immunoglobulin G,免疫球蛋白G,,2012-11-26
167873,immunoglobulin E,免疫球蛋白E,,2012-11-26
167874,immunoglobulin D,免疫球蛋白D,,2012-11-26
167875,immunoglobulin A,免疫球蛋白A,,2012-11-26
167876,immunoglobulin,免疫球蛋白,,2012-11-26
167877,immunofluorescence,免疫萤光法,,2012-11-26
167878,immunoendocrinopathy syndrome,免疫内分泌病症,,2012-11-26
167879,immunocytochemical techinque,免疫细胞化学技术,,2012-11-26
167880,immunocontraception,免疫避孕,,2012-11-26
167881,immunoassay,免疫测定,,2012-11-26
167882,immunoadsorbent chromatography,免疫吸附型层析 (色谱) 法,,2012-11-26
167883,immunization,免疫法,,2012-11-26
167884,immunity,免疫,,2012-11-26
167885,immune thyroiditis,免疫性甲状腺炎,,2012-11-26
167886,immune system,免疫系统,,2012-11-26
167887,immune suppressor,免疫抑制因子,,2012-11-26
167888,secondary immune,第二次免疫,,2012-11-26
167889,immune response (IR) molecule,免疫反应分子,,2012-11-26
167890,immune response,免疫反应,,2012-11-26
167891,immune recognition,免疫识别,,2012-11-26
167892,primary immune,初次免疫,,2012-11-26
167893,immune opsonin,免疫调理素,,2012-11-26
167894,immune modulator,免疫调节物,,2012-11-26
167895,immune memory,免疫记忆,,2012-11-26
167896,immune lysin,免疫溶素,,2012-11-26
167897,immune interferon,免疫干扰素,,2012-11-26
167898,immune hemolysin,免疫溶血素,,2012-11-26
