ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6255430,lateral decubitus,侧卧位,,,2020-01-07
6255431,lateral decubitus view,侧卧位影像,,,2020-01-07
6255432,lateral medullary syndrome,外侧延髓症候群,,,2020-01-07
6255433,lateral view,侧面像,,,2020-01-07
6255434,lateral x-ray,侧面X光片,,,2020-01-07
6255435,lead block,铅阻断,,,2020-01-07
6255436,lead encephalopathy,铅毒脑病,,,2020-01-07
6255437,lead equivalent,铅当量,,,2020-01-07
6255438,lead-lined,衬铅的,,,2020-01-07
6255439,leak,漏泄,,,2020-01-07
6255440,leakage dose,泄漏剂量,,,2020-01-07
6255441,leakage radiation,渗漏辐射,,,2020-01-07
6255442,left anterior oblique (LAO) position,左前斜摆位,,,2020-01-07
6255443,left decubitus position,左侧卧摆位,,,2020-01-07
6255444,left lower lobe {= LLL},左下肺叶,,,2020-01-07
6255445,left posterior oblique (LPO) position,左后斜摆位,,,2020-01-07
6255446,left upper lobe {=LUL},左上肺叶,,,2020-01-07
6255447,Lenz's law,楞次定律,,,2020-01-07
6255448,leptomeningeal carcinomatosis,软脑膜癌病,,,2020-01-07
6255449,Leri disease,Leri氏病,,,2020-01-07
6255450,lethal dose {=LD},致死剂量,,,2020-01-07
6255451,leukodystrophy,脑白质失养症,,,2020-01-07
6255452,ligand,配位基；配位子；配位体,,,2020-01-07
6255453,ligand binding assay {=LBA},配体结合分析,,,2020-01-07
6255454,light microscope,光学显微镜,,,2020-01-07
6255455,ligmentum flavum,黄韧带,,,2020-01-07
6255456,Limulus amebocyte lysate (LAL) test,鲎试剂法 {一种内毒素检测方法},,,2020-01-07
6255457,line source,线射源,,,2020-01-07
6255458,linear accelerator {=Linac},直线加速器,,,2020-01-07
6255459,linear attenuation coefficient,直线衰减系数,,,2020-01-07
6255460,linear energy absorption coefficient,线能量吸收系数,,,2020-01-07
6255461,linear energy transfer {=LET},直线能量转移,,,2020-01-07
6255462,linear source,线源,,,2020-01-07
6255463,linear stopping power,线性阻挡本领,,,2020-01-07
6255464,linearity,直线性；线性,,,2020-01-07
6255465,linear-quadratic (LQ) model,线性二次方模型,,,2020-01-07
6255466,lingula,舌叶,,,2020-01-07
6255467,lipoma arborescens,树枝状脂肪瘤,,,2020-01-07
6255468,lipomyelomeningocele,脂肪脊髓脊膜膨出,,,2020-01-07
6255469,liquid scintillation counter,液体闪烁计数器,,,2020-01-07
6255470,lissencephaly,平脑畸形,,,2020-01-07
6255471,lobar,肺叶的,,,2020-01-07
6255472,lobar atelectasis,肺叶膨胀不全,,,2020-01-07
6255473,locked scapula,肩胛绞锁,,,2020-01-07
6255474,log book,工作记录簿,,,2020-01-07
6255475,logging of shipment,出货记录,,,2020-01-07
6255476,longitudinal relaxation time,纵向松弛时间,,,2020-01-07
6255477,loosening,松脱,,,2020-01-07
6255478,low volage radiography,低电压放射摄影(术){少用},,,2020-01-07
6255479,low-grade,低度的,,,2020-01-07
6255480,luciferase,萤光酵素,,,2020-01-07
6255481,lumbar sacralization,腰椎荐椎化,,,2020-01-07
6255482,lumbosacral transitional vertebra {=LSTV},腰荐过渡椎,,,2020-01-07
6255483,lunate dislocation,月骨半脱位,,,2020-01-07
6255484,lung markings,肺纹理,,,2020-01-07
6255485,lymphadenopathy,淋巴结肿大；淋巴结病变,,,2020-01-07
6255486,lymphoma,淋巴瘤,,,2020-01-07
6255487,lymphoscintigraphy,淋巴闪烁摄影,,,2020-01-07
6255488,lyophilization,冷冻干燥,,,2020-01-07
6255489,lyophilized,冷冻干燥的,,,2020-01-07
6255490,M mode,M型,,,2020-01-07
6255491,macroaggregated,大颗粒聚合,,,2020-01-07
6255492,macroaggregated albumin {=MAA},大颗粒聚合白蛋白,,,2020-01-07
6255493,magnetic (field) gradient,磁场梯度,,,2020-01-07
6255494,magnetic field,磁场,,,2020-01-07
6255495,magnetic resonance image {=MRI},磁振造影,,,2020-01-07
6255496,magnetic resonance imaging {=MRI},磁振造影,,,2020-01-07
6255497,magnetic resonance spectroscopy {=MRS},磁振频谱,,,2020-01-07
6255498,magnetron,磁控管,,,2020-01-07
6255499,magnification radiography,放大放射摄影(术),,,2020-01-07
6255500,major fissures,大裂隙,,,2020-01-07
6255501,malignant fibrous histiocytoma {=MFH},恶性纤维组织细胞瘤,,,2020-01-07
6255502,mammogram,乳房摄影,,,2020-01-07
6255503,mammography,乳房摄影,,,2020-01-07
6255504,mantle field,斗篷照野,,,2020-01-07
6255505,marble bone disease,大理石骨病,,,2020-01-07
6255506,Maroteaux-lamy syndrome,Maroteaux-lamy氏病,,,2020-01-07
6255507,mass attenuation coefficient,质量衰减系数,,,2020-01-07
6255508,mass effect,肿块效应,,,2020-01-07
6255509,mass energy absorption coefficient,质能吸收系数,,,2020-01-07
6255510,mass spectrometry,质谱仪,,,2020-01-07
6255511,mass stopping power,质量阻挡本领,,,2020-01-07
6255512,mastectomy,乳房切除术,,,2020-01-07
6255513,maximum intensity projection {=MIP},最大强度投影,,,2020-01-07
6255514,maximum permissible concentration {=MPC},最大许可浓度,,,2020-01-07
6255515,mean effective attenuation coefficient,平均有效衰减系数,,,2020-01-07
6255516,Meckel's diverticulum,梅克尔氏憩室,,,2020-01-07
6255517,median-sagital plane,正中矢状面,,,2020-01-07
6255518,mediastinal shift,纵膈移位,,,2020-01-07
6255519,medical cyclotron,医用回旋加速器,,,2020-01-07
6255520,medical dosimetrist,医学剂量师,,,2020-01-07
6255521,medical exposure,医疗曝露,,,2020-01-07
6255522,medical internal radiation dose {=MIRD},医学内照射剂量,,,2020-01-07
6255523,medical physicist,医学物理师,,,2020-01-07
6255524,mediolateral projection,内外位投影,,,2020-01-07
6255525,medium energy collimator,中级能量用准直仪,,,2020-01-07
6255526,medulloblastoma,髓母细胞瘤,,,2020-01-07
6255527,mega cisterna magna,巨大脑大池畸形,,,2020-01-07
6255528,melanoma,黑色素瘤,,,2020-01-07
6255529,"MELAS {mitochondrial myopathy, encephalopathy, lactic acidosis, strokes syndrome}",MELAS症候群 {粒线体异常引发之肌肉病变、脑病变、乳酸中毒、中风症候群},,,2020-01-07
6255530,melorheostosis,蜡泪样骨病,,,2020-01-07
6255531,meningioma,脑膜瘤,,,2020-01-07
6255532,meningoencephalocele,脑膜脑膨出,,,2020-01-07
6255533,meniscus,半月板,,,2020-01-07
6255534,MERRF {Myoclonic Epilepsy with Ragged Red Fibers},MERRF症候群 {肌抽跃癫痫合并红色褴褛肌纤维症},,,2020-01-07
6255535,mesenchymal chondrosarcoma,间叶型软骨肉瘤,,,2020-01-07
6255536,mesothelioma,间皮瘤,,,2020-01-07
6255537,metabolic encephalopathy,代谢性脑病变,,,2020-01-07
6255538,metachromatic leukodystrophy,异染性白质失养症,,,2020-01-07
6255539,metaphyseal chondrodysplasia,干骺端软骨发育不全,,,2020-01-07
6255540,metastable state,介稳态；亚稳定态,,,2020-01-07
6255541,metastasis,转移,,,2020-01-07
6255542,methylene diphosphonate {=MDP},亚甲基二磷酸盐,,,2020-01-07
6255543,microaggregates,微凝体,,,2020-01-07
6255544,microcurie {=μCi},微居里,,,2020-01-07
6255545,microdosimetry,微剂量学,,,2020-01-07
6255546,microsievert {=μSv},微西弗,,,2020-01-07
6255547,midcarpal dislocation,中腕关节脱位,,,2020-01-07
6255548,middle cerebral artery infarction,中大脑动脉梗塞,,,2020-01-07
6255549,miliary nodules,粟粒状结节,,,2020-01-07
6255550,milicurie {=mCi},毫居里,,,2020-01-07
6255551,milking,挤取,,,2020-01-07
6255552,million electron volts {=MeV},百万电子伏特,,,2020-01-07
6255553,"minimum intensity projection {=mIP, MinIP}",最小强度投影,,,2020-01-07
6255554,minisievert {=mSv},毫西弗,,,2020-01-07
6255555,minor fissure,小裂隙,,,2020-01-07
6255556,mitochondrial encephalopathy,粒线体脑病变,,,2020-01-07
6255557,mixed connective tissue disease {=MCTD},混合性结缔组织疾病,,,2020-01-07
6255558,Mobile X-Ray System,移动型X光摄影系统,,,2020-01-07
6255559,mobile X-ray unit,移动型X光装置,,,2020-01-07
6255560,modified in vivo method,修正的体内标志法,,,2020-01-07
6255561,modulation transfer function {=MTF},调制转换函数,,,2020-01-07
6255562,molecular imaging,分子影像,,,2020-01-07
6255563,molybdenum {=Mo},钼,,,2020-01-07
6255564,molybdenum target,钼靶,,,2020-01-07
6255565,monochromatic X-ray,单波X射线,,,2020-01-07
6255566,monoclonal antibody {=Mab},单株抗体,,,2020-01-07
6255567,Monteggia fracture,Monteggia骨折,,,2020-01-07
6255568,Morquio syndrome,Morquio氏病,,,2020-01-07
6255569,moth eaten,虫蚀状破坏,,,2020-01-07
6255570,moving grid {Potter-Bucky grids},移动式铅栅,,,2020-01-07
6255571,moyamoya disease,毛毛样血管疾病,,,2020-01-07
6255572,MR tractography,磁振神经束造影,,,2020-01-07
6255573,mrem,毫仑目,,,2020-01-07
6255574,mucopolysaccharidosis,黏多糖病,,,2020-01-07
6255575,mucosa-associated lymphoid tissue lymphoma{=MALToma},黏膜相关淋巴组织淋巴瘤,,,2020-01-07
6255576,mucositis,黏膜炎,,,2020-01-07
6255577,multicentric osteosarcoma,多发骨肉瘤,,,2020-01-07
6255578,multichannel pulse height analyzer,多频道脉高分析器,,,2020-01-07
6255579,multi-detector,多排侦测器,,,2020-01-07
6255580,multifocal,多处局部,,,2020-01-07
6255581,multigated acquisition {=MUGA},多门控撷取法,,,2020-01-07
6255582,multiple epiphyseal dysplasia,多发性骨骺发育不良,,,2020-01-07
6255583,multiple myeloma,多发性骨髓瘤,,,2020-01-07
6255584,multiple sclerosis,多发性硬化症,,,2020-01-07
6255585,multiple system atrophy {=MSA},多系统萎缩,,,2020-01-07
6255586,multislice,多切面,,,2020-01-07
6255587,multi-slice CT,多切面电脑断层造影仪,,,2020-01-07
6255588,muscle strain,肌肉扭伤,,,2020-01-07
6255589,muscular dystrophy,肌肉失养症,,,2020-01-07
6255590,myelination process,髓鞘形成过程；髓鞘化过程,,,2020-01-07
6255591,myelofibrosis,骨髓纤维化,,,2020-01-07
6255592,myelography,脊髓腔摄影,,,2020-01-07
6255593,myelomalacia,脊髓软化,,,2020-01-07
6255594,myelomeningocele,脊髓脊髓膜膨出,,,2020-01-07
6255595,myocardial strain,心肌应变；心肌应力,,,2020-01-07
6255596,Nal (TI) crystal,碘化钠(铊)晶体,,,2020-01-07
6255597,Nal (TI) scintillation detector,碘化钠(铊)晶体侦检器,,,2020-01-07
6255598,Nal (TI) scintillation surveymeter,碘化钠(铊)晶体勘检器,,,2020-01-07
6255599,nanomolar,奈米莫耳,,,2020-01-07
6255600,nasogastric tube (NG tube),鼻胃管,,,2020-01-07
6255601,nasopharyngeal carcinoma {=NPC},鼻咽癌,,,2020-01-07
6255602,National Council on Radiation Protection and Measurement {=NCRP},美国辐射防护与度量委员会,,,2020-01-07
6255603,N-chlorobenzenesulfonamide,氮-氯苯磺醯胺氧化剂,,,2020-01-07
6255604,negative contrast medium,负性对比剂,,,2020-01-07
6255605,nerve sheath tumor,神经鞘瘤,,,2020-01-07
6255606,neurinoma,神经鞘瘤,,,2020-01-07
6255607,neuroblastoma,神经母细胞瘤,,,2020-01-07
6255608,neurodegeneration with brain iron accumulation {=NBIA},脑内铁沉积性神经系统退化症,,,2020-01-07
6255609,neuroendocrine tumor,神经内分泌肿瘤,,,2020-01-07
6255610,neurofibroma,神经纤维瘤,,,2020-01-07
6255611,neurofibromatosis,神经纤维瘤病,,,2020-01-07
6255612,neuroreceptor,神经受体,,,2020-01-07
6255613,neutrinos,微中子,,,2020-01-07
6255614,neutron {=n},中子,,,2020-01-07
6255615,neutron capture,中子捕获,,,2020-01-07
6255616,neutron rich,富中子；多中子,,,2020-01-07
6255617,New Drug Application {=NDA},新药申请,,,2020-01-07
6255618,no carrier added {=NCA},无附加载体,,,2020-01-07
6255619,nodular,结节的,,,2020-01-07
6255620,nodule,结节,,,2020-01-07
6255621,non-caseating necrosis,非干酪坏死,,,2020-01-07
6255622,nondiffusible,非扩散性的,,,2020-01-07
6255623,non-Hodgkin's lymphoma {=NHL},非何杰金氏淋巴癌,,,2020-01-07
6255624,non-ionizing radiation,非游离辐射,,,2020-01-07
6255625,non-isotopic carrier,非同位素载体,,,2020-01-07
6255626,non-magnetic substance,非磁性物质,,,2020-01-07
6255627,nonobstructive,非阻塞性,,,2020-01-07
6255628,non-small cell lung carcinoma,非小细胞肺癌,,,2020-01-07
6255629,nonspecific,非特异性的,,,2020-01-07
6255630,non-stochastic effects,非机率效应,,,2020-01-07
6255631,nonunion,骨折不愈合,,,2020-01-07
6255632,normal distribution,常态分布,,,2020-01-07
6255633,normal pressure hydrocephalus {=NPH},常压性水脑症,,,2020-01-07
6255634,normalization,标准化,,,2020-01-07
6255635,nuclear binding energy,核束缚能；核结合能,,,2020-01-07
6255636,nuclear disintegration,核蜕变,,,2020-01-07
6255637,nuclear fission,核分裂,,,2020-01-07
6255638,nuclear fission product,核分裂衍生物,,,2020-01-07
6255639,nuclear fission reaction,核分裂反应,,,2020-01-07
6255640,nuclear fusion,核融合,,,2020-01-07
6255641,nuclear isomer,异构核,,,2020-01-07
6255642,nuclear magnetic resonance {=NMR},核磁共振,,,2020-01-07
6255643,nuclear pharmacy,核药学,,,2020-01-07
6255644,nuclear reaction,核反应,,,2020-01-07
6255645,nuclear reactor,核子反应炉,,,2020-01-07
6255646,Nuclear Regulatory Commission {=NRC},核管理委员会,,,2020-01-07
6255647,nuclear spallation,核散裂,,,2020-01-07
6255648,nuclear stability,核稳定,,,2020-01-07
6255649,nuclear transformation,核变化,,,2020-01-07
6255650,nucleon,核子,,,2020-01-07
6255651,nucleophilic fluorination,亲核性氟化,,,2020-01-07
6255652,nucleus,原子核,,,2020-01-07
6255653,nuclide,核种；核素,,,2020-01-07
6255654,obstruction,阻塞；梗塞,,,2020-01-07
6255655,obstructive,阻塞的；梗塞的,,,2020-01-07
6255656,ochronosis,褐黄病,,,2020-01-07
6255657,ochronotic arthritis,褐黄病性关节炎,,,2020-01-07
6255658,oligodendroglioma,寡树突神经胶细胞瘤,,,2020-01-07
6255659,olivo-ponto-cerebellar atrophy {=OPCA},橄榄体桥脑小脑萎缩,,,2020-01-07
6255660,oncocytoma,嗜酸细胞瘤,,,2020-01-07
6255661,oncogene,致癌基因,,,2020-01-07
6255662,oncologist,肿瘤科医师,,,2020-01-07
6255663,oncology,肿瘤学,,,2020-01-07
6255664,opacification,不透明,,,2020-01-07
6255665,opaque,不透光的,,,2020-01-07
6255666,opiate agonist,鸦片受体活化剂,,,2020-01-07
6255667,optical density,光学密度,,,2020-01-07
6255668,oral contrast medium,经口造影剂,,,2020-01-07
6255669,orbital electron,轨道电子,,,2020-01-07
6255670,orbitomeatal line,OM线；眶听线,,,2020-01-07
6255671,organification,有机化,,,2020-01-07
6255672,organized hematoma,组织化的血肿,,,2020-01-07
6255673,organizing hematoma,组织化中血肿,,,2020-01-07
6255674,orogastric tube,口胃管,,,2020-01-07
6255675,oscillation,振荡,,,2020-01-07
6255676,osmolality,渗透压,,,2020-01-07
6255677,osmotic demyelination syndrome {=ODS},渗透性脱髓鞘症候群,,,2020-01-07
6255678,ossification,骨化,,,2020-01-07
6255679,ossified hemangioma,骨化血管瘤,,,2020-01-07
6255680,ossifying hemangioma,骨化性血管瘤,,,2020-01-07
6255681,osteitis fibrosa cystica,纤维囊性骨炎,,,2020-01-07
6255682,osteoblastic metastasis,成骨性骨转移,,,2020-01-07
6255683,osteochondritis,骨软骨炎,,,2020-01-07
6255684,osteochondroma,骨软骨瘤,,,2020-01-07
6255685,osteogenesis imperfecta,先天性成骨不全症,,,2020-01-07
6255686,osteoid matrix,骨样基质,,,2020-01-07
6255687,osteoid osteoma,骨样骨瘤,,,2020-01-07
6255688,osteolysis,骨溶解,,,2020-01-07
6255689,osteolytic metastases,溶骨性骨转移,,,2020-01-07
6255690,osteomalacia,骨质软化症,,,2020-01-07
6255691,osteomyelitis,骨髓炎,,,2020-01-07
6255692,osteopathia striata,条纹状骨病,,,2020-01-07
6255693,osteopoikilosis,骨斑点症,,,2020-01-07
6255694,osteoporosis,骨质疏松,,,2020-01-07
6255695,osteoradionecrosis,放射性骨坏死,,,2020-01-07
6255696,osteosarcoma,骨肉瘤,,,2020-01-07
6255697,ovary cancer,卵巢癌,,,2020-01-07
6255698,oxygen enhancement ratio {=OER},增氧比,,,2020-01-07
6255699,oxygen quenching,氧气猝灭,,,2020-01-07
6255700,pachydermoperiostosis,厚皮性骨膜病,,,2020-01-07
6255701,Paget disease,Paget氏症,,,2020-01-07
6255702,pair production,成对发生,,,2020-01-07
6255703,palliative radiotherapy,姑息性放射治疗,,,2020-01-07
6255704,panniculitis,脂膜炎,,,2020-01-07
6255705,pannus,血管翳,,,2020-01-07
6255706,panoramagraphy,颔骨全景摄影,,,2020-01-07
6255707,paper chromatography,纸层析法,,,2020-01-07
6255708,paragonimiasis,肺吸虫病,,,2020-01-07
6255709,parallel-hole collimator,平行孔准直仪,,,2020-01-07
6255710,paramagnetic substance,顺磁性物质,,,2020-01-07
6255711,parietal pleura,壁层胸膜,,,2020-01-07
6255712,Parkinsonism,巴金森症候群,,,2020-01-07
6255713,Parkinson-plus syndrome,巴金森附加症候群,,,2020-01-07
6255714,Parkinson's disease,巴金森氏症,,,2020-01-07
6255715,parosteal osteosarcoma,骨旁骨肉瘤,,,2020-01-07
6255716,partial linear attenuation coefficient,部分线性衰减系数,,,2020-01-07
6255717,partial volume effect,部分体积效应,,,2020-01-07
6255718,particle,粒子；微粒,,,2020-01-07
6255719,particle accelerator,粒子加速器,,,2020-01-07
6255720,particle therapy,粒子治疗,,,2020-01-07
6255721,partition coefficient,分配系数,,,2020-01-07
6255722,pathological calcification,病理性钙化,,,2020-01-07
6255723,pattern,类型；型态,,,2020-01-07
6255724,pectineal line,耻骨梳,,,2020-01-07
6255725,Pelkan spur,Pelkan骨刺,,,2020-01-07
6255726,penumbra,半影区,,,2020-01-07
6255727,peptide receptor radionuclide therapy {=PRRT},胜肽受体放射性核种治疗,,,2020-01-07
6255728,percent window,能窗百分比,,,2020-01-07
6255729,percentage depth dose {=PDD},百分深度剂量,,,2020-01-07
6255730,percentage depth dose curve,百分深度剂量曲线,,,2020-01-07
6255731,perfusion,灌流,,,2020-01-07
6255732,perfusion scan,灌流扫描,,,2020-01-07
6255733,peribronchovascular bundle,支气管血管周边束,,,2020-01-07
6255734,pericardial effusion,心包膜积液,,,2020-01-07
6255735,pericardium,心包膜,,,2020-01-07
6255736,perilunate dislocation,月骨周围脱位,,,2020-01-07
6255737,periodic table of elements,元素周期表,,,2020-01-07
6255738,periosteal reaction,骨膜反应,,,2020-01-07
6255739,periostitis,骨膜炎,,,2020-01-07
6255740,peripheral arteriography,周边血管摄影(术),,,2020-01-07
6255741,peritonitis,腹膜炎,,,2020-01-07
6255742,periventricular leukomalacia {=PVL},脑室周围白质软化症,,,2020-01-07
6255743,periventricular white matter hyperintensity,脑室旁白质白斑,,,2020-01-07
6255744,permeative destruction,侵润破坏,,,2020-01-07
6255745,phagocytosis,吞噬作用,,,2020-01-07
6255746,phantom,假体,,,2020-01-07
6255747,phase shift,相位差,,,2020-01-07
6255748,pheochromocytoma,嗜铬细胞瘤,,,2020-01-07
6255749,phlebolith,静脉石,,,2020-01-07
6255750,photodynamic therapy {=PDT},光动力治疗,,,2020-01-07
6255751,photoelectric absorption coefficient,光电吸收系数,,,2020-01-07
6255752,photoelectric effect,光电效应,,,2020-01-07
6255753,photoelectron,光电子,,,2020-01-07
6255754,photoelectron energy,光电子能量,,,2020-01-07
6255755,photographic film dosimeters,感光胶片剂量计,,,2020-01-07
6255756,photoluminescence,光发光,,,2020-01-07
6255757,photomultiplier tube {=PMT},光电倍增管,,,2020-01-07
6255758,photon,光子,,,2020-01-07
6255759,photoneutron,光(激)中子,,,2020-01-07
6255760,photonuclear reaction,光核反应,,,2020-01-07
6255761,photopeak,能峰,,,2020-01-07
6255762,physical effective half-life,物理有效半衰期,,,2020-01-07
6255763,physical half-life {=T1/2p},物理半衰期,,,2020-01-07
6255764,physiological calcification,生理性钙化,,,2020-01-07
6255765,picture archiving and communication system {=PACS},医疗影像储传系统,,,2020-01-07
6255766,pigmented villonodular synovitis {=PVNS},色素绒毛结节性滑膜炎,,,2020-01-07
6255767,pilocytic astrocytoma,毛状星细胞瘤,,,2020-01-07
6255768,pinhole,针孔,,,2020-01-07
6255769,pinhole collimator,针孔准直仪,,,2020-01-07
6255770,pituitary adenoma,脑下垂体腺瘤,,,2020-01-07
6255771,Pituitary apoplexy,脑下垂体中风,,,2020-01-07
6255772,pituitary fossa,脑下垂体窝,,,2020-01-07
6255773,pituitary microadenoma,脑下垂体微小腺瘤,,,2020-01-07
6255774,pixel,像素,,,2020-01-07
6255775,Planck's constant,布朗克常数,,,2020-01-07
6255776,plane,切面；断面,,,2020-01-07
6255777,planning target volume {=PTV},计划靶体积,,,2020-01-07
6255778,plasmacytoma,浆细胞瘤,,,2020-01-07
6255779,platinum target,白金靶,,,2020-01-07
6255780,pleura,肋(胸)膜,,,2020-01-07
6255781,pleural,胸膜的；肋膜的,,,2020-01-07
6255782,pleural effusion,胸膜积水,,,2020-01-07
6255783,pleural fluid,肋膜积液,,,2020-01-07
6255784,pneumocystis jiroveci pneumonia {=PJP},肺囊虫肺炎,,,2020-01-07
6255785,pneumoencephalography {=PEG},气脑摄影(术),,,2020-01-07
6255786,pneumoencephalus,气颅,,,2020-01-07
6255787,pneumomediastinum,气纵膈；纵膈积气,,,2020-01-07
6255788,pneumonia,肺炎,,,2020-01-07
6255789,pneumoretroperitoniography {=PRP},后腹膜气腹摄影(术),,,2020-01-07
6255790,pneumothorax,气胸,,,2020-01-07
6255791,pocket dosimeter,口袋剂量计,,,2020-01-07
6255792,point A dose,A点剂量,,,2020-01-07
6255793,point B dose,B点剂量,,,2020-01-07
6255794,point source,点射源,,,2020-01-07
6255795,polyarthritis,多发性关节炎,,,2020-01-07
6255796,polyclonal antibodies,多株抗体,,,2020-01-07
6255797,polyostotic fibrous dysplasia,多发性纤维性发育不全,,,2020-01-07
6255798,polytomography,多层断层摄影(术),,,2020-01-07
6255799,porencephaly,孔洞脑,,,2020-01-07
6255800,portable X-ray unit,手持式X光装置,,,2020-01-07
6255801,portography,门脉摄影,,,2020-01-07
6255802,positioning,摆位,,,2020-01-07
6255803,positron,正子,,,2020-01-07
6255804,positron decay,正子蜕变；衰变,,,2020-01-07
6255805,positron emission computed tomography {=PET},正子断层造影,,,2020-01-07
6255806,positron emitter neucleus,正子释出核种,,,2020-01-07
6255807,positron range,正子射程,,,2020-01-07
6255808,posterior cruciate ligament,后十字韧带,,,2020-01-07
6255809,posterior projection,后投影,,,2020-01-07
6255810,posteroanterior {=PA} projection,后前位投影,,,2020-01-07
6255811,potentially lethal damage {=PLD},潜在致死伤害,,,2020-01-07
6255812,precession,旋进,,,2020-01-07
6255813,precursor,先驱物；前驱物,,,2020-01-07
6255814,pressure effect,压力效应,,,2020-01-07
6255815,presynaptic,突触前,,,2020-01-07
6255816,primary aldosteronism,原发性高醛固酮症；原发性皮质醛酮症,,,2020-01-07
6255817,primary coil,主线圈,,,2020-01-07
6255818,primary ossification center,初级骨化中心,,,2020-01-07
6255819,primary trabeculae,初级骨小梁,,,2020-01-07
6255820,primary tumor,原发肿瘤,,,2020-01-07
6255821,primitive neuroectodermal tumor {=PNET},原始神经外胚层肿瘤,,,2020-01-07
6255822,probe,探针,,,2020-01-07
6255823,prognosis,预后,,,2020-01-07
6255824,progressive diaphyseal dysplasia,进行性骨干发育不良,,,2020-01-07
6255825,progressive supranuclear palsy {=PSP},进行性核上神经麻痺症,,,2020-01-07
6255826,progressive systemic sclerosis,全身性硬化症,,,2020-01-07
6255827,prompt counts,即时计数,,,2020-01-07
6255828,pronation,内转,,,2020-01-07
6255829,proportional counters,比例计数器,,,2020-01-07
6255830,prostate cancer,前列腺癌；摄护腺癌,,,2020-01-07
6255831,protective apron,防护(铅)衣；围裙,,,2020-01-07
6255832,protective device,防护(铅)用具,,,2020-01-07
6255833,protective gloves,防护(铅)手套,,,2020-01-07
6255834,protective goggles,防护(铅)护目镜,,,2020-01-07
6255835,protective neck shield,防护(铅)护颈,,,2020-01-07
6255836,protocol,协定；程序,,,2020-01-07
6255837,proton,质子,,,2020-01-07
6255838,proton therapy,质子治疗,,,2020-01-07
6255839,proto-oncogene,原癌基因；原致癌基因,,,2020-01-07
6255840,protruding disk,椎间盘突出,,,2020-01-07
6255841,proximal tubule,近端小管,,,2020-01-07
6255842,pseudoachondroplastic dysplasia,假性软骨发育不全,,,2020-01-07
6255843,pseudofracture,假骨折,,,2020-01-07
6255844,pseudogout,假痛风,,,2020-01-07
6255845,pseudohypertrophy,假性肥大,,,2020-01-07
6255846,pseudomeningocele,假性脑脊髓膜膨出,,,2020-01-07
6255847,pseudotumor,假性肿瘤,,,2020-01-07
6255848,psoriasis,干癣,,,2020-01-07
6255849,psoriatic arthritis,干癣性关节炎,,,2020-01-07
6255850,pulmonary,肺部,,,2020-01-07
6255851,pulmonary {=cavitary},肺部空洞化,,,2020-01-07
6255852,pulmonary arteriovenous malformation,肺动静脉畸形,,,2020-01-07
6255853,pulmonary artery,肺动脉,,,2020-01-07
6255854,pulmonary edema,肺水肿,,,2020-01-07
6255855,pulmonary emboli,肺栓塞,,,2020-01-07
6255856,pulmonary fibrosis,肺部纤维化,,,2020-01-07
6255857,pulmonary infarction,肺梗塞,,,2020-01-07
6255858,pulmonary lobule,肺小叶,,,2020-01-07
6255859,pulmonary markings,肺部纹路,,,2020-01-07
6255860,pulmonary nodule,肺部结节,,,2020-01-07
6255861,pulmonary osteoarthropathy,肺性骨关节病,,,2020-01-07
6255862,pulmonary perfusion,肺部灌流,,,2020-01-07
6255863,pulmonary vein,肺静脉,,,2020-01-07
6255864,pulmonary vessel,肺部血管,,,2020-01-07
6255865,pulse height analyzer {=PHA},脉高分析器,,,2020-01-07
6255866,pulse sequence,脉冲序列,,,2020-01-07
6255867,pyelography,肾盂摄影(术),,,2020-01-07
6255868,pyogenic spondylitis,化脓性脊柱炎,,,2020-01-07
6255869,pyomyositis,化脓性肌炎,,,2020-01-07
6255870,pyrogen test,热原试验,,,2020-01-07
6255871,pyrogen-free,无热原,,,2020-01-07
6255872,quality factor,射质因素,,,2020-01-07
6255873,quasithreshold dose {=Dq},准阈值剂量,,,2020-01-07
6255874,quench,淬熄,,,2020-01-07
6255875,radiation,辐射；放射,,,2020-01-07
6255876,radiation absorbed dose {=rad},雷得,,,2020-01-07
6255877,radiation dose,辐射剂量,,,2020-01-07
6255878,radiation dosimetry,辐射剂量测定法,,,2020-01-07
6255879,radiation effect,辐射效应；放射效应,,,2020-01-07
6255880,radiation exposure,辐射曝露；放射曝露,,,2020-01-07
6255881,radiation field,放射照野；辐射照野,,,2020-01-07
6255882,radiation hazard,辐射危害,,,2020-01-07
6255883,radiation hepatitis,放射性肝炎,,,2020-01-07
6255884,radiation induced cancer,放射诱导癌病变,,,2020-01-07
6255885,radiation induced leukemia,放射诱导白血病,,,2020-01-07
6255886,radiation induced malignancy,放射诱导癌病变,,,2020-01-07
6255887,radiation injury of brain,放射性脑损伤,,,2020-01-07
6255888,radiation intensifying medicine,放射增敏药物,,,2020-01-07
6255889,radiation lethal effect,辐射致死效应；放射致死效应,,,2020-01-07
6255890,radiation necrosis,放射性坏死,,,2020-01-07
6255891,radiation oncologist,放射肿瘤科医师,,,2020-01-07
6255892,radiation osteomyelitis,放射性骨髓炎,,,2020-01-07
6255893,radiation pneumonities,放射性肺炎,,,2020-01-07
6255894,radiation protection,辐射防护,,,2020-01-07
6255895,radiation pulmonary fibrosis,放射性肺纤维化,,,2020-01-07
