ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6254625,beta-ray applicator,β射线装疗器,,,2020-01-07
6254626,BF3 counter,三氟化硼计数器,,,2020-01-07
6254627,BF3 proportional counter type surveymeter,三氟化硼比例计数器式勘检器,,,2020-01-07
6254628,binding energy,束缚能；结合能,,,2020-01-07
6254629,biologic half-life,生物半衰期,,,2020-01-07
6254630,biological direct effect,直接生物效应,,,2020-01-07
6254631,biological effect,生物效应,,,2020-01-07
6254632,biological effect of neutron,中子生物效应,,,2020-01-07
6254633,biological effect of radiation,辐射生物效应,,,2020-01-07
6254634,biological effective half-life,生物有效半衰期,,,2020-01-07
6254635,biologically effective dose {= BED},生物有效剂量,,,2020-01-07
6254636,biologically equivalent dose,生物等效剂量,,,2020-01-07
6254637,block detector,方块侦检器,,,2020-01-07
6254638,blood-brain barrier {=BBB},血脑屏障,,,2020-01-07
6254639,blooming effect,辉散效应,,,2020-01-07
6254640,body position,体姿,,,2020-01-07
6254641,bolus,填充物,,,2020-01-07
6254642,bolus injection,单次快速注射；弹丸注射,,,2020-01-07
6254643,bone age,骨龄,,,2020-01-07
6254644,bone cyst,骨囊肿,,,2020-01-07
6254645,bone infarction,骨梗塞,,,2020-01-07
6254646,bone joint,骨关节,,,2020-01-07
6254647,bone marrow conversion,骨髓转化,,,2020-01-07
6254648,bone marrow reconversion,骨髓逆转化,,,2020-01-07
6254649,bone scintigraphy,骨骼扫描,,,2020-01-07
6254650,bone-seeking radionuclide,亲骨性核素,,,2020-01-07
6254651,boron neutron capture therapy {=BNCT},硼中子捕获治疗,,,2020-01-07
6254652,brachytherapy,近接治疗,,,2020-01-07
6254653,brachytherapy source,近接治疗射源,,,2020-01-07
6254654,bragg peak,布拉格尖峰；布勒格尖峰,,,2020-01-07
6254655,brain abscess,脑脓疡,,,2020-01-07
6254656,brain atrophy,脑萎缩,,,2020-01-07
6254657,brain contusion,脑挫伤,,,2020-01-07
6254658,brain metastasis,脑转移,,,2020-01-07
6254659,branching decay,分支衰变,,,2020-01-07
6254660,braun tube,布莱恩管；阴极射线管,,,2020-01-07
6254661,breakdown,崩解,,,2020-01-07
6254662,bremsstrahlung,制动辐射,,,2020-01-07
6254663,bronchiectasis,支气管扩张症,,,2020-01-07
6254664,bronchography,支气管摄影,,,2020-01-07
6254665,bronchus intermedius,中段支气管,,,2020-01-07
6254666,Brown Sequard syndrome,Brown Sequard症候群,,,2020-01-07
6254667,brown tumor,棕色瘤,,,2020-01-07
6254668,bucky table,具备活动栅的X光检查枱,,,2020-01-07
6254669,build up area,(能量)增建区,,,2020-01-07
6254670,bulging disc,椎间盘膨出,,,2020-01-07
6254671,bulla,(肺)大泡,,,2020-01-07
6254672,by-product,副产物,,,2020-01-07
6254673,bystander effect (Abscopal Effect),旁观者效应,,,2020-01-07
6254674,C type mode,C-模式,,,2020-01-07
6254675,Caldwell view,柯特威耳(颅骨)像,,,2020-01-07
6254676,calibration,校正,,,2020-01-07
6254677,callus,骨痂,,,2020-01-07
6254678,capillary hemangioma,微血管瘤,,,2020-01-07
6254679,carcinomatosis meningitis,癌性脑膜炎,,,2020-01-07
6254680,carcinostatic effect,抑癌效应,,,2020-01-07
6254681,cardiac cycle,心周期,,,2020-01-07
6254682,cardiothoracic ratio,心胸比例,,,2020-01-07
6254683,cardiothoracic ratio {=CTR},心胸比,,,2020-01-07
6254684,cardiovascular computed tomography {=CVCT},心血管电脑断造影,,,2020-01-07
6254685,cardiovascular disease,心血管疾病,,,2020-01-07
6254686,carina,气管隆突,,,2020-01-07
6254687,carpal tunnel syndrome,腕隧道症候群,,,2020-01-07
6254688,carrier,载体,,,2020-01-07
6254689,carrier free,无载体,,,2020-01-07
6254690,carrier free separation,无载体分离,,,2020-01-07
6254691,cartilage hair hypoplasia syndrome,软骨毛发发育不良症候群,,,2020-01-07
6254692,caseating necrosis,干酪坏死,,,2020-01-07
6254693,cathode,阴极,,,2020-01-07
6254694,cathode ray tube {=CRT},阴极射线管,,,2020-01-07
6254695,caudo-cranial direction,尾头方向,,,2020-01-07
6254696,cavernous hemangioma,海绵状血管瘤,,,2020-01-07
6254697,cavitary,空洞化,,,2020-01-07
6254698,cavity theory,空腔理论,,,2020-01-07
6254699,Cell cycle,细胞周期,,,2020-01-07
6254700,cell survival curve,细胞存活曲线,,,2020-01-07
6254701,cell survival ratio,细胞存活率,,,2020-01-07
6254702,central neurocytoma,中心性脑神经细胞瘤,,,2020-01-07
6254703,central pontine myelinolysis {=CPM},桥脑中央髓鞘溶解症,,,2020-01-07
6254704,central venous catheter {=CVC},中央静脉导管,,,2020-01-07
6254705,centriacinar emphysema,腺泡中央型肺气肿,,,2020-01-07
6254706,cephalization,头向化,,,2020-01-07
6254707,cerebellar atrophy,小脑萎缩症,,,2020-01-07
6254708,cerebellar infarction,小脑梗塞,,,2020-01-07
6254709,cerebellitis,小脑炎,,,2020-01-07
6254710,cerebral amyloid angiopathy (CAA),类淀粉脑血管病变,,,2020-01-07
6254711,cerebral arteriovenous malformation,脑动静脉畸形,,,2020-01-07
6254712,cerebral blood flow {=CBF},脑血流量,,,2020-01-07
6254713,cerebral hemiatrophy,大脑半侧萎缩,,,2020-01-07
6254714,cerebral infarction,脑梗塞,,,2020-01-07
6254715,cerebritis,大脑炎,,,2020-01-07
6254716,cerebrospinal fluid (CSF) seeding,脑脊液散播,,,2020-01-07
6254717,cerebrospinal fluid {=CSF},脑脊髓液,,,2020-01-07
