ID,英文名稱,中文名稱,圖片,更新日期
21290701,adiabatic line,绝热线,,
21290702,adiabatic process,绝热过程,,
21290703,adirapatan boat,印度之一种泥淖区渔船,,
21290704,A-display,A型显示；A型显示器,,
21290705,adjustable bearing,可调轴承,,
21290706,adjustable blade,可调叶片,,
21290707,adjustable block,可调墩；可调支座,,
21290708,adjustable bolt,可调螺栓,,
21290709,adjustable brass,可调轴衬,,
21290710,adjustable brush,可调电刷,,
21290711,adjustable condenser,可调电容器,,
21290712,adjustable contact,可调接触；可调触点,,
21290713,adjustable eccentric,可调偏心轮,,
21290714,adjustable instrument mounting,仪表可调支架,,
21290715,adjustable resistance,变阻器,,
21290716,adjustable shaft bearing,可调轴承,,
21290717,adjustable speed governor,可变调速器,,
21290718,adjustable speed motor,调速马达,,
21290719,adjustable thrust block,可调推力轴承,,
21290720,adjustable vane,可调叶片,,
21290721,adjustable wrench,活动扳钳,,
21290722,adjusting block,调整轴承；调整块,,
21290723,adjusting bolt,调节螺栓,,
21290724,adjusting device,调整装置,,
21290725,adjusting gear,调整装置,,
21290726,adjusting handle,调整手柄,,
21290727,adjusting magnet,[罗经]自差校正磁铁,,
21290728,adjusting mechanism,调整机构,,
21290729,adjusting screw,调整螺[丝]钉,,
21290730,adjusting shim,调准垫片,,
21290731,adjusting spring,调整弹簧,,
21290732,adjusting tank,调整柜,,
21290733,adjusting thrust bearing,可调推力轴承,,
21290734,adjusting valve,调整阀,,
21290735,adjusting washer,调整垫圈,,
21290736,adjusting wedge,调整楔,,
21290737,adjustment,调整；校准；校正,,
21290738,Administration,主管机关,,
21290739,admiral cabin,将官房舱,,
21290740,admiral flag,将官旗,,
21290741,admiral lamp,将官灯,,
21290742,admiral saloon,将官厅,,
21290743,admiral’s bridge,[旗舰]司令台,,
21290744,admiralty anchor,海军锚,,
21290745,Admiralty brass,海军黄铜,,
21290746,Admiralty bronze,海军青铜,,
21290747,Admiralty coefficient,海军系数,,
21290748,Admiralty constant,海军常数,,
21290749,admiralty gun-metal,海军砲铜,,
21290750,Admiralty metal,海军黄铜,,
21290751,admiralty-type direct tube boiler,海军型直焰式火管锅炉,,
21290752,admission,进入,,
21290753,admission air silencer,进气消音器,,
21290754,admission chamber,进气室,,
21290755,admission line,进入管系,,
21290756,admission port,进汽口,,
21290757,admission valve,进入阀；进气阀；进汽阀,,
21290758,admission velocity,进气速度,,
21290759,admixtures,混合物；添加剂,,
21290760,advance,前进距离（回旋圈）；提前,,
21290761,advance angle,前进角；提前角,,
21290762,advance coefficient,前进系数,,
21290763,advance fire,提前点火,,
21290764,advance igniter,提前点火器,,
21290765,advance injection,提前喷射,,
21290766,advance ratio,前进比{螺桨},,
21290767,advance speed,前进速率（螺桨）,,
21290768,advanced ignition,提前点火,,
21290769,advanced material ordering,先期订料,,
21290770,advanced starting valve,提前起动阀,,
21290771,advanced timing,提前定时,,
21290772,advice boat,通信船,,
21290773,adze,手斧；扁斧,,
21290774,aeration of rudder,舵面充气；舵面空气吸入,,
21290775,aerial,天线,,
21290776,aerial conveyor,架空输送机,,
