ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19444218,breast board,胸板,,nan,,2023-01-17
19444219,breathing,透气作用,,材料_FRP,,2023-01-17
19444220,bredigite,白矽钙石；矽酸二钙{矿物名词},,nan,,2023-01-17
19444221,breeching,烟道{燃烧设备},,营管组,,2023-01-17
19444222,breeze,煤渣；熟料；焦炭屑,,nan,,2023-01-17
19444223,breezeway,风廊道,,建筑_环控,,2023-01-17
19444224,B-region,B区域,,nan,,2023-01-17
19444225,brick,砖,,营管组,,2023-01-17
19444226,brick bridge,砖桥,,nan,,2023-01-17
19444227,brick pavement,砖铺路面,,nan,,2023-01-17
19444228,brick seat,砖座,,nan,,2023-01-17
19444229,brick structure,砖构造,,nan,,2023-01-17
19444230,brick wall,砖墙,,nan,,2023-01-17
19444231,bricolage,修补术{法文},,nan,,2023-01-17
19444232,bridge bearing,桥支承,,nan,,2023-01-17
19444233,bridge cap,桥梁顶盖,,nan,,2023-01-17
19444234,bridge crane,桥式吊车,,营管组,,2023-01-17
19444235,bridge deck,桥面版,,nan,,2023-01-17
19444236,bridge deck drainage,桥面排水,,营管组,,2023-01-17
19444237,bridge reamer,铣孔钻头,,nan,,2023-01-17
19444238,bridge sleeper,桥梁枕木,,nan,,2023-01-17
19444239,bridge type wharf,桥式码头,,nan,,2023-01-17
19444240,bridged building,空桥连接的建筑,,建筑_环控,,2023-01-17
19444241,bridged rotary intersection,立体圆环道,,nan,,2023-01-17
19444242,bridge-fall prevention device,桥梁防落装置,,营管组,,2023-01-17
19444243,bridging,架桥作用,,环工组,,2023-01-17
19444244,bridging slab,跨接版{明挖与潜遁交接的版子},,nan,,2023-01-17
19444245,bridle rope,控制索,,nan,,2023-01-17
19444246,brightness temperature,亮度温度,,环工组,,2023-01-17
19444247,brine,盐水；卤水,,环工组,,2023-01-17
19444248,briquet,八字形试体,,nan,,2023-01-17
19444249,briquette,八字形试体,,nan,,2023-01-17
19444250,brise-soleil,遮阳板 {法文},,nan,,2023-01-17
19444251,british thermal unit (BTU),英制热量单位,,环工组,,2023-01-17
19444252,brittle fracture,脆裂,,nan,,2023-01-17
19444253,brittle material,脆性材料,,nan,,2023-01-17
19444254,brittle steel element,脆性钢材构件,,nan,,2023-01-17
19444255,brittleness,脆性,,nan,,2023-01-17
19444256,broad irrigation,淹灌法,,nan,,2023-01-17
19444257,broadacre city,广宇城市,,nan,,2023-01-17
19444258,broadcast,撒布,,nan,,2023-01-17
19444259,broadcast ephemeris,广播星历,,测量组,,2023-01-17
19444260,broadcast message,广播讯息,,测量组,,2023-01-17
19444261,broadcast transmission and reception equipment,广播传讯及接收设备,,营管组,,2023-01-17
19444262,broadcasting station,广播电台；广播站,,nan,,2023-01-17
19444263,broadside slipway,横向船台,,nan,,2023-01-17
19444264,broad-spectrum pesticide,广效杀虫剂,,环工组,,2023-01-17
19444265,broken line,虚线,,nan,,2023-01-17
19444266,broken pediment,破缝山墙,,nan,,2023-01-17
19444267,broken wave force,碎波力,,nan,,2023-01-17
19444268,broken wave height,碎波波高,,nan,,2023-01-17
19444269,broken-back curve,断背曲线,,测量组,,2023-01-17
19444270,broken-out section,断裂面,,nan,,2023-01-17
19444271,broken-section,断裂面,,nan,,2023-01-17
19444272,broken-section line,割面线,,nan,,2023-01-17
19444273,broken-stick model,折棒模型,,环工组,,2023-01-17
19444274,bromacil,除草定;克草,,环工组,,2023-01-17
19444275,bromofenoxim,杀草全,,环工组,,2023-01-17
19444276,bronchitis,支气管炎,,环工组,,2023-01-17
19444277,Bronsted acid,布氏酸,,环工组,,2023-01-17
19444278,bronze welding,青铜銲接,,nan,,2023-01-17
19444279,broom,扫纹,,nan,,2023-01-17
19444280,broom finish,扫纹；帚饰,,nan,,2023-01-17
19444281,broth,培养液,,环工组,,2023-01-17
19444282,brother,双肢吊索,,nan,,2023-01-17
19444283,brown coal,褐炭,,nan,,2023-01-17
19444284,brown coat,整平层；二道抹灰,,nan,,2023-01-17
19444285,brown earth,棕壤；褐土,,环工组,,2023-01-17
19444286,brown out,底层浆施作,,nan,,2023-01-17
19444287,brown oxide,氧化铁矿物,,nan,,2023-01-17
19444288,Brown water quality index,布朗水质指数,,环工组,,2023-01-17
19444289,brown-air city,褐气都市,,环工组,,2023-01-17
19444290,brownfield,受污染土地；棕地；褐地,,建筑_环控,,2023-01-17
19444291,Brownian motion,布朗运动,,环工组,,2023-01-17
19444292,browning plaster,抹浆,,nan,,2023-01-17
19444293,brownmillerite (C4AF),铁铝酸四钙；钙铁铝石,,nan,,2023-01-17
19444294,brucite,水镁石；天然氢氧化镁,,nan,,2023-01-17
19444295,Brunauer-Emmett-Teller equation (BET),布鲁诺—埃梅特—特勒BET方程式,,环工组,,2023-01-17
19444296,brush cutter,割草机,,nan,,2023-01-17
19444297,brushed surface,刷毛表层,,nan,,2023-01-17
19444298,brutalism,蛮横主义,,nan,,2023-01-17
19444299,B-type right-of-way,B型路权；部分专用路权,,nan,,2023-01-17
19444300,bubble assist,气泡成形,,材料_FRP,,2023-01-17
19444301,bubble diffuser,气泡扩散器,,环工组,,2023-01-17
19444302,bubble halfway back level vial adjustment,半半改正法,,测量组,,2023-01-17
19444303,bubble impinger,气泡式冲击吸收瓶,,环工组,,2023-01-17
19444304,bubble policy,污染泡政策,,环工组,,2023-01-17
19444305,bubble tube axis,水准管轴；水准轴,,nan,,2023-01-17
19444306,bubbling spring,气泡泉,,nan,,2023-01-17
19444307,Buchner funnel,布氏漏斗,,环工组,,2023-01-17
19444308,buck,孔框；门框,,nan,,2023-01-17
19444309,bucket ladder,环斗挖泥机,,nan,,2023-01-17
19444310,bucket loader,斗式装料机,,nan,,2023-01-17
19444311,bucking tool,铆钉头型模具,,nan,,2023-01-17
19444312,buckling,挫屈,,nan,,2023-01-17
19444313,buckling coefficient,挫曲系数,,nan,,2023-01-17
19444314,buckling load,挫曲载重,,nan,,2023-01-17
19444315,budget,预算,,营管组,,2023-01-17
19444316,budget analysis,预算分析,,营管组,,2023-01-17
19444317,budget at completion (BAC),预估完工预算,,营管组,,2023-01-17
19444318,budget authority,预算权限；预算当局,,营管组,,2023-01-17
19444319,budget estimate,预算估价,,营管组,,2023-01-17
19444320,budget summary table,预算总表,,营管组,,2023-01-17
19444321,budgeted cost of work performed (BCWP),完成工作预算成本；实获值；实际进度,,营管组,,2023-01-17
19444322,budgeted cost of work scheduled (BCWS),预计工作预算成本；预算值；预定进度,,营管组,,2023-01-17
19444323,budgeting,预算编列,,营管组,,2023-01-17
19444324,buffer,缓冲 [剂],,环工组,,2023-01-17
19444325,buffer action,缓冲作用,,环工组,,2023-01-17
19444326,buffer capacity,缓冲能力,,环工组,,2023-01-17
19444327,buffer solution,缓冲溶液,,环工组,,2023-01-17
19444328,buffer stop,止冲挡,,nan,,2023-01-17
19444329,buffer zone,缓冲区；环域,,nan,,2023-01-17
19444330,buffering capacity,缓冲能力,,环工组,,2023-01-17
19444331,bug hole,表面气孔,,nan,,2023-01-17
19444333,buggy,手推车{混凝土},,nan,,2023-01-17
19444334,Build- Operate- Transfer (BOT),兴建营运移转,,营管组,,2023-01-17
19444335,Build- Operate- Transfer contract,兴建营运移转契约,,营管组,,2023-01-17
19444336,builder,增涤剂；充填剂；助强剂,,nan,,2023-01-17
19444337,builder's risk insurance,建造者风险保险；承包商风险保险,,营管组,,2023-01-17
19444338,building,建筑物；房屋,,nan,,2023-01-17
19444339,building basin,造船船渠,,nan,,2023-01-17
19444340,building berth,造船码头,,nan,,2023-01-17
19444341,building bio-climatic chart (BBCC),建筑生物气候图,,建筑_环控,,2023-01-17
19444342,building bulk,建筑容积,,nan,,2023-01-17
19444343,building bulk control,建筑容积管制,,nan,,2023-01-17
19444344,building bulk density,建筑容积密度,,nan,,2023-01-17
19444345,building bulk district,建筑容积管制地区,,nan,,2023-01-17
19444346,building bulk ratio,建筑容积率,,nan,,2023-01-17
19444347,building bulk ratio bonus,容积奖励,,nan,,2023-01-17
19444348,building bulk restriction,建筑容积限制,,nan,,2023-01-17
19444349,building bulk zoning,建筑容积分区管制,,nan,,2023-01-17
19444350,building climatology,建筑气候学,,建筑_环控,,2023-01-17
19444351,building code,建筑法规；建筑技术规则,,nan,,2023-01-17
19444352,building contractor,建筑承揽商；建筑承包商,,nan,,2023-01-17
19444353,building control,建筑管制,,nan,,2023-01-17
19444354,building coverage,建筑面积；建筑覆盖面,,nan,,2023-01-17
19444355,building coverage ratio,建蔽率；建筑面积比,,nan,,2023-01-17
19444356,building density,建筑密度,,nan,,2023-01-17
19444357,building depth,建筑深度,,nan,,2023-01-17
19444358,building design,建筑设计,,建筑_环控,,2023-01-17
19444359,building drainage system,建筑排水系统,,环工组,,2023-01-17
19444360,building element,建筑构件；建筑元素,,建筑_环控,,2023-01-17
19444361,building energy management system (BEMS),建筑[物]能源管理系统,,营管组,,2023-01-17
19444362,building envelope,建筑外壳,,建筑_环控,,2023-01-17
19444363,building equipment,建筑设备,,都计组,,2023-01-17
19444364,building extraction,建物萃取,,测量组,,2023-01-17
19444365,building gap,邻栋间隔,,都计组,,2023-01-17
19444366,building height,建筑高度,,nan,,2023-01-17
19444367,building height ratio,建筑高度比,,nan,,2023-01-17
19444368,building height zoning,建筑高度分区管制,,nan,,2023-01-17
19444369,building industry,建筑工业,,nan,,2023-01-17
19444370,building information model (BIM),建筑资讯模型；建物资讯模型,,测量组,,2023-01-17
19444371,building information modeling (BIM),建筑资讯建模；建筑资讯塑模,,nan,,2023-01-17
19444372,building inspector,建筑检查人员,,nan,,2023-01-17
19444373,building insulation,建物隔热,,营管组,,2023-01-17
19444374,building layout,建筑平面配置；建筑配置,,建筑_环控,,2023-01-17
19444375,building line,建筑线,,nan,,2023-01-17
19444376,building loss coefficient (BLC),建筑物[每日]散热系数,,建筑_环控,,2023-01-17
19444377,building lot,建筑基地,,都计组,,2023-01-17
19444378,building mass,建筑量体,,nan,,2023-01-17
19444379,building material,建筑材料,,建筑_环控,,2023-01-17
19444380,building module,建筑模组,,都计组,,2023-01-17
19444381,building occupancy permit,建筑使用执照,,nan,,2023-01-17
19444382,building official,建管单位,,nan,,2023-01-17
19444383,building permit,建筑执照；建造执照；建筑许可,,nan,,2023-01-17
19444384,building process,建筑流程,,营管组,,2023-01-17
19444385,building protection,建物保护,,nan,,2023-01-17
19444386,building protection form storm,防水的建筑物,,建筑_环控,,2023-01-17
19444387,building separation,邻栋间隔,,建筑_环控,,2023-01-17
19444388,building service,物业管理服务,,环工组,,2023-01-17
19444389,building sewer,建物污水管,,nan,,2023-01-17
19444390,building shape,建筑形状,,建筑_环控,,2023-01-17
19444391,building site,建筑基地,,nan,,2023-01-17
19444392,building storm sewer,建物雨水管,,nan,,2023-01-17
19444393,building subdrain,建物地下排水,,nan,,2023-01-17
19444394,building system control,建筑物系统控制,,营管组,,2023-01-17
19444395,building telecommunications cable,建筑物电信电缆,,营管组,,2023-01-17
19444396,building telecommunications optical fiber cable,建筑物电信光缆,,营管组,,2023-01-17
19444397,building thermal performance,建筑热性能,,建筑_环控,,2023-01-17
19444398,building trap,建物存水弯,,环工组,,2023-01-17
19444399,building volume,建筑量体,,nan,,2023-01-17
19444400,building-intergrated photovoltaic (BIPV),太阳能光电板整合建材,,建筑_环控,,2023-01-17
19444401,building-related illness (BRI),建筑相关疾病,,建筑_环控,,2023-01-17
19444402,building's envelope area to site area (BESA) ratio,建筑表皮面积与基地面积之比,,建筑_环控,,2023-01-17
19444403,build-transfer (BT),兴建-移转,,nan,,2023-01-17
19444404,build-up,积层喷凝土；积存混凝土{拌和设备}；组合{结构}；,,nan,,2023-01-17
19444405,built environment,建成环境；建构环境；建筑环境,,营管组,,2023-01-17
19444406,built-in edge,固定边缘,,nan,,2023-01-17
19444407,built-up area,建成区,,nan,,2023-01-17
19444408,built-up beam,组合梁,,nan,,2023-01-17
19444409,built-up bituminous roofing,沥青涂层屋顶铺面,,营管组,,2023-01-17
19444410,built-up bituminous waterproofing,沥青涂层防水,,营管组,,2023-01-17
19444411,built-up girder,组合大梁,,nan,,2023-01-17
19444412,built-up member,组合构材；组合构件；组合杆件,,纲结构名词-銲接与AISC,,2023-11-15
19444413,bulb pile,球根桩,,nan,,2023-01-17
19444414,bulk cargo port,散装货物港,,nan,,2023-01-17
19444415,bulk cargo wharf,散舱货码头；散装码头,,nan,,2023-01-17
19444416,bulk cement,散装水泥,,nan,,2023-01-17
19444417,bulk density,容积密度；统体密度；体密度,,nan,,2023-01-17
19444418,bulk dispersion coefficient,容积分散系数,,环工组,,2023-01-17
19444419,bulk factor,容积因数；统体因数,,材料_FRP,,2023-01-17
19444420,bulk freight,散装货运,,nan,,2023-01-17
19444421,bulk loading,装载{散装材料},,nan,,2023-01-17
19444422,bulk modulus,容积模数；单位应力体积比；统体模数,,nan,,2023-01-17
19444423,bulk molding compound,块状模造复合材,,材料_FRP,,2023-01-17
19444424,bulk specific gravity,容积比重；虚比重；统体比重,,nan,,2023-01-17
19444425,bulk supply substation (BSS),主变电站,,nan,,2023-01-17
19444426,bulk warehouse,散装仓库,,nan,,2023-01-17
19444427,bulk wharf,散货码头,,nan,,2023-01-17
19444428,bulk zoning,容积管制分区,,nan,,2023-01-17
19444429,bulkhead,挡土壁；端版；膈板,,nan,,2023-01-17
19444430,bulkhead wharf,挡土壁码头,,nan,,2023-01-17
19444431,bulking,砂胀；胀；膨胀{含水砂},,nan,,2023-01-17
19444432,bulking curve,膨胀曲线{含水砂},,nan,,2023-01-17
19444433,bulking factor,膨胀因数{含水砂},,nan,,2023-01-17
19444434,bulking sludge,膨化污泥,,环工组,,2023-01-17
19444435,bulky refuse,大型垃圾,,环工组,,2023-01-17
19444436,bulky waste,大型废弃物,,环工组,,2023-01-17
19444437,bulk-zoning,容积分区,,nan,,2023-01-17
19444438,bull float,混凝土浇置面整平器,,nan,,2023-01-17
19444439,bulldog grip,束夹,,nan,,2023-01-17
19444440,bulldozer,推土机；正铲堆土机,,nan,,2023-01-17
19444441,bump,路面高突,,nan,,2023-01-17
19444442,bumper,止冲挡,,nan,,2023-01-17
19444443,bundle adjustment,光束法平差,,测量组,,2023-01-17
19444444,bundle strength,成束强度,,材料_FRP,,2023-01-17
19444445,bundled bars,束筋,,nan,,2023-01-17
19444446,bundled tendon,成束钢腱,,nan,,2023-01-17
19444447,bunker capacity,存煤量,,nan,,2023-01-17
19444448,buoy berth,浮筒船席,,nan,,2023-01-17
19444449,buoy number,浮筒号数,,nan,,2023-01-17
19444450,buoy rope,浮筒索,,nan,,2023-01-17
19444451,buoy sling,浮筒吊索,,nan,,2023-01-17
19444452,buoy tender,浮标补给船；浮标补给者,,nan,,2023-01-17
19444453,buoy yard,浮标站,,nan,,2023-01-17
19444454,buoyancy material,可浮材料,,材料_FRP,,2023-01-17
19444455,buoyant foundation,浮式基础,,nan,,2023-01-17
19444456,burdened vessel,义务船；避让船,,nan,,2023-01-17
19444457,Bureau International de l' Heure (BIH),国际时间局,,测量组,,2023-01-17
19444458,bureaucracy concept,官僚概念,,环工组,,2023-01-17
19444459,buret,滴定管,,环工组,,2023-01-17
19444460,buried pier,隐藏式桥墩,,nan,,2023-01-17
19444461,buried stream,潜伏溪流,,nan,,2023-01-17
19444462,burlap,粗麻布,,nan,,2023-01-17
19444463,burlap drag,粗麻布刷面,,nan,,2023-01-17
19444464,burn-cut,核裂拔心开炸,,nan,,2023-01-17
19444465,burner aid,助燃装置,,环工组,,2023-01-17
19444466,burnishing,抛光；磨光,,nan,,2023-01-17
19444467,burnt aggregate,烧结粒料,,nan,,2023-01-17
19444468,burr,毛边,,材料_FRP,,2023-01-17
19444469,burst strength,爆裂强度,,材料_FRP,,2023-01-17
19444470,bursting stress,爆裂应力,,nan,,2023-01-17
19444471,bus bay,公车[停车]弯,,nan,,2023-01-17
19444472,bus lane,公车[专用]道,,nan,,2023-01-17
19444473,bus rapid transit (BRT),公车捷运系统,,nan,,2023-01-17
19444474,bus route,公车路线,,nan,,2023-01-17
19444475,bus station,公车站,,nan,,2023-01-17
19444476,bus street,公车专用街道,,nan,,2023-01-17
19444477,bus terminal,公车终站,,nan,,2023-01-17
19444478,bus transportation,公车运输,,nan,,2023-01-17
19444479,bush hammer,凿饰槌,,nan,,2023-01-17
19444480,bush hedge,海岸防沙林,,nan,,2023-01-17
19444481,bush-hammer finish,凿饰,,nan,,2023-01-17
19444482,bush-hammering,粗面石工,,nan,,2023-01-17
19444483,bushing,轴衬,,材料_FRP,,2023-01-17
19444484,business line,营业线,,nan,,2023-01-17
19444485,business wastewater,事业废水,,环工组,,2023-01-17
19444486,bus-stop,公共汽车站；公车站,,nan,,2023-01-17
19444487,busway,公车专用道路,,nan,,2023-01-17
19444488,butt and wrap,对接缠卷,,材料_FRP,,2023-01-17
19444489,butt laying,榫接,,nan,,2023-01-17
19444490,butt welding,对銲；平銲,,nan,,2023-01-17
19444491,butter,涂抹{砂浆}；润管,,nan,,2023-01-17
19444492,butterfly valve,蝶阀,,环工组,,2023-01-17
19444493,button,标线钮,,nan,,2023-01-17
19444494,button head,铆钉头,,nan,,2023-01-17
19444495,buttress fill,土台,,nan,,2023-01-17
19444496,buttressed abutment,扶壁式桥台,,nan,,2023-01-17
19444497,buttressed retaining wall,扶壁式挡土墙,,nan,,2023-01-17
19444498,butt-welded tube,对缝銲管,,nan,,2023-01-17
19444499,butyl stearate,硬脂酸丁酯{防潮剂},,nan,,2023-01-17
19444500,butylated hydroxyanisole (BHA),丁基羟基甲氧苯,,环工组,,2023-01-17
19444501,butylated hydroxytoluene (BHT),二丁基羟基甲苯,,环工组,,2023-01-17
19444502,by wash,溢道,,nan,,2023-01-17
19444503,by-law,细则；附则；地方法规,,nan,,2023-01-17
19444504,bypass,绕流,,环工组,,2023-01-17
19444505,bypass meter,旁通表,,环工组,,2023-01-17
19444506,by-pass meter,旁通表；绕流表,,nan,,2023-01-17
19444507,bypass road,绕越道路,,nan,,2023-01-17
19444508,bypass taxiway,旁越滑行道,,nan,,2023-01-17
19444509,bypass water meter,旁通水表,,环工组,,2023-01-17
19444510,by-pass water meter,旁通水表；绕流水表,,nan,,2023-01-17
19444511,bypassing traffic,绕越交通,,nan,,2023-01-17
19444512,bypath meter,旁通水表,,nan,,2023-01-17
19444513,bypath valve,旁通水阀,,nan,,2023-01-17
19444514,Byzantine,拜占庭,,nan,,2023-01-17
19444515,C weighted sound level,C权声位准,,环工组,,2023-01-17
19444516,C/S,钙矽比{CaO/SiO2},,nan,,2023-01-17
19444517,C3 plant,C3植物,,环工组,,2023-01-17
19444518,C4 plant,C4植物,,环工组,,2023-01-17
19444519,cab,驾驶室{铁路列车},,nan,,2023-01-17
19444520,cab signal,车载号志,,nan,,2023-01-17
19444521,cab signal block system,车载号志闭塞制,,nan,,2023-01-17
19444522,cab warning,驾驶室警示,,nan,,2023-01-17
19444523,cable,缆索；缆绳；缆；索；电缆,,nan,,2023-01-17
19444524,cable bracket,电缆架,,营管组,,2023-01-17
19444525,cable car,缆车,,nan,,2023-01-17
19444526,cable clip,索夹,,nan,,2023-01-17
19444527,cable crane,钢索吊车,,nan,,2023-01-17
19444528,cable drill,钢绳冲钻机,,nan,,2023-01-17
19444529,cable duct,线管,,nan,,2023-01-17
19444530,cable erection,钢索架设；钢缆架设,,nan,,2023-01-17
19444531,cable mooring floating dock,锚炼固定浮船坞,,nan,,2023-01-17
19444532,cable raceway,电缆线,,<p>营管组</p>,,2023-01-17
19444533,cable restrainer​,防落拉索,,营管组,,2023-01-17
19444534,cable station,缆车站,,nan,,2023-01-17
19444535,cable structure,缆索结构,,nan,,2023-01-17
19444536,cable transmission and reception equipment,有线传讯及接收设备,,营管组,,2023-01-17
19444537,cable-laid rope,正常绞股索,,nan,,2023-01-17
19444538,cable-stayed bridge,斜张桥；斜拉桥,,「钢结构及AISC名词,,2023-11-15
19444539,cable-suspension bridge,悬索桥,,nan,,2023-01-17
19444540,cableway,索道,,nan,,2023-01-17
19444541,cableway excavator,索道式挖土机,,nan,,2023-01-17
19444542,cableway transporter,索道载具,,nan,,2023-01-17
19444543,caboose,守车,,nan,,2023-01-17
19444544,caboose siding,守车侧线,,nan,,2023-01-17
19444545,cadastral map,地籍图,,nan,,2023-01-17
19444546,cadastral survey,地籍测量,,测量组,,2023-01-17
19444547,cadastral surveying,地籍测量,,nan,,2023-01-17
19444548,cadastre,地籍,,测量组,,2023-01-17
19444549,cadastrial map,地籍图,,nan,,2023-01-17
19444550,cadmium poisoning,镉中毒,,环工组,,2023-01-17
19444551,cadmium pollution,镉污染,,环工组,,2023-01-17
19444552,cage,[钢筋]笼,,nan,,2023-01-17
19444553,caisson,沉箱,,nan,,2023-01-17
19444554,caisson breakwater,沉箱式防波堤,,nan,,2023-01-17
19444555,caisson cradle,沈箱滑道台,,nan,,2023-01-17
19444556,caisson cutting edge,沉箱刃脚,,nan,,2023-01-17
19444557,caisson dock,沉箱船坞,,nan,,2023-01-17
19444558,caisson dry dock,沈箱干坞,,nan,,2023-01-17
19444559,caisson marine railway,沉箱滑道,,nan,,2023-01-17
19444560,caisson pile,沉箱式场铸桩,,nan,,2023-01-17
19444561,caisson platform,沉箱平台,,nan,,2023-01-17
19444562,caisson slipway,沈箱滑道,,nan,,2023-01-17
19444563,caissons,沉箱,,营管组,,2023-01-17
19444564,cake filtration,滤饼过滤,,环工组,,2023-01-17
19444565,calcareous,石灰质的,,nan,,2023-01-17
19444566,calcareous spring,碳酸钙泉,,nan,,2023-01-17
19444567,calcification,钙化,,nan,,2023-01-17
19444568,calcination,煆烧,,环工组,,2023-01-17
19444569,calcine,锻烧,,nan,,2023-01-17
19444570,calcite,方解石 {化学},,nan,,2023-01-17
19444571,calcium,钙{化学},,nan,,2023-01-17
19444572,calcium arsenate,砷酸钙,,环工组,,2023-01-17
19444573,calcium arsenite,亚砷酸钙,,环工组,,2023-01-17
19444574,calcium chloride,氯化钙{化学},,nan,,2023-01-17
19444575,calcium chloride solution,氯化钙溶液{化学},,nan,,2023-01-17
19444576,calcium cyanamide,氰胺基化钙,,环工组,,2023-01-17
19444577,calcium cyanide,氰化钙,,环工组,,2023-01-17
19444578,calcium hardness,钙硬度,,环工组,,2023-01-17
19444579,calcium hydroxide,氢氧化钙{化学},,nan,,2023-01-17
19444580,calcium hydroxyapatite,氢氧基磷灰石,,环工组,,2023-01-17
19444581,calcium hypochlorite,次氯酸钙,,nan,,2023-01-17
19444582,calcium lignosulfonate,木质磺酸钙,,nan,,2023-01-17
19444583,calcium orthoarsenate,正砷酸钙,,环工组,,2023-01-17
19444584,calcium silicate brick,矽酸钙砖,,营管组,,2023-01-17
19444585,calcium stearate,硬脂酸钙{化学},,nan,,2023-01-17
19444586,calcium-aluminate cement,铝酸钙水泥,,nan,,2023-01-17
19444587,calcium-silicate brick,矽酸钙砖,,nan,,2023-01-17
19444588,calcium-silicate hydrate,矽酸钙水合物{化学},,nan,,2023-01-17
19444589,caldera,火山口,,nan,,2023-01-17
19444590,Caldwell-Lawrence diagram,卡劳图,,环工组,,2023-01-17
19444591,calendaring,压延；砑光,,材料_FRP,,2023-01-17
19444592,calender,砑光机,,材料_FRP,,2023-01-17
19444593,calfdozer,开路机,,nan,,2023-01-17
19444594,calibrated focal length,率定[后]焦距,,测量组,,2023-01-17
19444595,calibrated ring,校准环；校正环,,nan,,2023-01-17
19444596,calibration,校准；校正；率定,,测量组,,2023-01-17
19444597,calibration reference,校正基准,,环工组,,2023-01-17
19444598,caliche,钙质层{化学},,nan,,2023-01-17
19444599,California bearing ratio (CBR),加州承载比,,nan,,2023-01-17
19444600,California profilograph,加州平坦仪（纵剖面仪）,,nan,,2023-01-17
19444601,calling-on signal,诱导号志{公路},,nan,,2023-01-17
19444602,calm belt,无风带,,nan,,2023-01-17
19444603,calomel electrode,甘汞电极,,环工组,,2023-01-17
19444604,calorimeter,热量计,,nan,,2023-01-17
19444605,calorized steel,镀铝钢,,nan,,2023-01-17
19444606,camber,拱度；预拱；预拱量；拱曲,,nan,,2023-01-17
19444607,camber rod,拱势拉銲,,nan,,2023-01-17
19444608,camera axis,摄影轴,,nan,,2023-01-17
19444609,camp sheathing,木板挡墙,,nan,,2023-01-17
19444610,camp site,营地,,nan,,2023-01-17
19444611,campanile,钟塔{义大利文},,nan,,2023-01-17
19444612,can buoy,罐形浮标,,nan,,2023-01-17
19444613,canal aqueduct,渡槽桥,,nan,,2023-01-17
19444614,canal distribution system,渠道分布系统,,nan,,2023-01-17
19444615,canal excavation,渠道开挖,,营管组,,2023-01-17
19444616,canal system power station,渠道式发电站；渠流式发电站,,nan,,2023-01-17
19444617,candle turbidimeter,烛焰浊度计,,环工组,,2023-01-17
19444618,canif mixer,压送式拌和机,,nan,,2023-01-17
19444619,canister-type anchor bolt,筒状锚栓,,nan,,2023-01-17
19444620,canopy,雨庇；冠层；罩盖,,nan,,2023-01-17
19444621,canopy restriction,仰角限制,,测量组,,2023-01-17
19444622,cant,斜倾,,nan,,2023-01-17
19444623,cant deficiency,超高不足[量],,nan,,2023-01-17
19444624,cant diminishing,超高递减,,nan,,2023-01-17
19444625,cant strip,倒棱材,,nan,,2023-01-17
19444626,cantilever,悬臂,,nan,,2023-01-17
19444627,cantilever abutment,悬臂式桥台,,nan,,2023-01-17
19444628,cantilever arm,悬臂,,nan,,2023-01-17
19444629,cantilever beam,悬臂梁,,nan,,2023-01-17
19444630,cantilever bridge,悬臂梁桥,,nan,,2023-01-17
19444631,cantilever construction method,悬臂工法,,nan,,2023-01-17
19444632,cantilever girder,悬臂大梁,,nan,,2023-01-17
19444633,cantilever pier,悬臂式桥墩,,nan,,2023-01-17
19444634,cantilever retaining wall,悬臂挡土墙,,nan,,2023-01-17
19444635,canvas fender,帆布护舷,,nan,,2023-01-17
19444636,canyon,峡谷,,nan,,2023-01-17
19444637,cap,顶盖,,nan,,2023-01-17
19444638,cap cable,帽索,,nan,,2023-01-17
19444639,cap cables,负弯矩预力索；负弯矩预力腱,,nan,,2023-01-17
19444640,cap crimper,雷管夹,,nan,,2023-01-17
19444641,capability assessment,容受力评估{对环境}；能力评估{对人},,都计组,,2023-01-17
19444642,capability assessment for readiness (CAR),整备能力评估,,都计组,,2023-01-17
19444643,capability of transportation,运输能力,,nan,,2023-01-17
19444644,capacity,强度；容量,,nan,,2023-01-17
19444645,capacity curve,容量曲线,,nan,,2023-01-17
19444646,capacity design,容量设计,,nan,,2023-01-17
19444647,capacity load,容量载,,nan,,2023-01-17
19444648,capacity-reduction factor,强度折减因子,,nan,,2023-01-17
19444649,cape,角；岬,,nan,,2023-01-17
19444650,cape seal,石浆封层,,nan,,2023-01-17
19444651,capel,索头承口,,nan,,2023-01-17
19444652,capillarity,毛细[管]现象；毛细[管]作用,,nan,,2023-01-17
19444653,capillary,毛细孔,,nan,,2023-01-17
19444654,capillary action,毛细[管]作用,,nan,,2023-01-17
19444655,capillary consolidation,毛细[管]压密,,nan,,2023-01-17
19444656,capillary flow,毛细管流,,nan,,2023-01-17
19444657,capillary gas chromatography,毛细管柱气相层析法,,环工组,,2023-01-17
19444658,capillary pore,毛细孔,,nan,,2023-01-17
19444659,capillary potential,毛[细]管势,,环工组,,2023-01-17
19444660,capillary pressure,毛细管压力,,环工组,,2023-01-17
19444661,capillary rise,毛细上升,,nan,,2023-01-17
19444662,capillary rise height,毛细上升高度,,nan,,2023-01-17
19444663,capillary siphoning phenomenon,毛细虹吸现象,,nan,,2023-01-17
19444664,capillary space,毛细空间,,nan,,2023-01-17
19444665,capillary suction,毛细吸引,,nan,,2023-01-17
19444666,capillary tension,毛细张力,,nan,,2023-01-17
19444667,capillary water,毛细管水,,nan,,2023-01-17
19444668,capillary zone,毛管水层,,nan,,2023-01-17
19444669,capital,柱头；资本,,nan,,2023-01-17
