ID,英文名稱,中文名稱,圖片,更新日期
94604,floating caisson type wharf,浮式沈箱码头,,2012-11-26
94605,floating caisson,浮式沈箱,,2012-11-26
94606,floating caission upright breakwater,直壁浮式沈箱防波堤,,2012-11-26
94607,floating bridge; pontoon birdge,浮桥,,2012-11-26
94608,floating breakwater,浮式防波堤,,2012-11-26
94609,floating beacon,浮式主标,,2012-11-26
94610,floating aid,水上号志,,2012-11-26
94611,floater,输泥管浮箱；助浮箱；浮子,,2012-11-26
94612,flight lock,连级船闸,,2012-11-26
94613,flickering,闪烁；明晦光,,2012-11-26
94614,flexible air pipe,任意弯挠之气管,,2012-11-26
94615,flasing beacon,闪光标杆,,2012-11-26
94616,flash light,闪光[灯]；[手]电筒,,2012-11-26
94617,fixed sailing,固定航期,,2012-11-26
94618,fixed radio beacon,固定无线电示标,,2012-11-26
94619,fixed loading,固定载重,,2012-11-26
94620,fixed light,定光[灯],,2012-11-26
94621,fixed hoist,固定起吊机,,2012-11-26
94622,fixed forms,固定模板,,2012-11-26
94623,fixed and group flashing light,[固]定联闪光,,2012-11-26
94624,fixed and flashing light,定闪光,,2012-11-26
94625,fishery quay,渔业码头,,2012-11-26
94626,fishery harbor; fishing harbor; fishing port,渔港,,2012-11-26
94627,fire warp,火警备缆,,2012-11-26
94628,fire protection equipment,防火设备,,2012-11-26
94629,fire hydrant,消防给水栓,,2012-11-26
94630,fire hose,消防水管；消防软管；水龙带,,2012-11-26
94631,fire fighting,灭火,,2012-11-26
94632,fire fighter; fireman,消防队员,,2012-11-26
