ID,英文名稱,中文名稱,圖片,更新日期
136401,range rate,接近率,,2012-11-26
136402,range panel,靶场标板,,2012-11-26
136403,range of target,目标距离,,2012-11-26
136404,range of propeller,螺距范围,,2012-11-26
136405,range of action,活动范围,,2012-11-26
136406,range octagon,射程八角形显示,,2012-11-26
136409,range lights,跑道头灯,,2012-11-26
136410,range gating,距离栅,,2012-11-26
136412,range error probable,射程误差概率,,2012-11-26
136415,range; cruise speed,返航速率航程,,2012-11-26
136416,range correction,射程修正量,,2012-11-26
136417,range circle,距离刻度环,,2012-11-26
136418,range/azimuth display unit,射程方位显示器,,2012-11-26
136419,range attenuation,距离衰减,,2012-11-26
136420,range analog bar,射程相似标,,2012-11-26
136421,range angle,射程角,,2012-11-26
136422,range (RG),导航台;航程;射程;试验场;范围,,2012-11-26
136423,random vibration,随机振动,,2012-11-26
136424,random error,随机误差,,2012-11-26
136425,random drift rate,随机漂移率,,2012-11-26
136426,random access memory,随机存取记忆体,,2012-11-26
136427,ram rocket,冲压火箭,,2012-11-26
136428,ram pressure,冲压力,,2012-11-26
136429,ramp,进气道;斜台;停机坪,,2012-11-26
136430,ramming,冲压效应,,2012-11-26
136431,ramjet,冲压喷射发动机,,2012-11-26
136432,ram drag,冲压阻力,,2012-11-26
136433,ram air turbine (RAT),冲压气涡轮,,2012-11-26
136434,ram,冲压管;冲压,,2012-11-26
136435,rally point,返航集合点,,2012-11-26
136436,rake,倾斜;俯瞰,,2012-11-26
136437,rake of wingtip,翼尖斜削,,2012-11-26
136438,rain shower (RASH),阵雨,,2012-11-26
136439,rain stage,雨阶段,,2012-11-26
136440,rain shadow,雨荫,,2012-11-26
136441,rain repellent,排雨剂,,2012-11-26
136442,rain removal system,除雨系统,,2012-11-26
136443,raininess,雨量强度;雨量特性,,2012-11-26
136444,rain forest,雨林,,2012-11-26
136445,rain drop,雨滴,,2012-11-26
136446,rain day,雨日,,2012-11-26
136447,raincrust,雨雪壳,,2012-11-26
136448,rain cloud,雨云,,2012-11-26
136449,rain climate,多雨气候,,2012-11-26
136450,rail type launcher,滑轨式发射架,,2012-11-26
136451,radome,雷达罩,,2012-11-26
136452,radius vector,径矢;向径,,2012-11-26
136453,radius of turn,转弯半径,,2012-11-26
136454,radius of operation,作战半径,,2012-11-26
